"BRISONr";"genotype";"RYear";"breeder";"Year_of_release_fin";"Quality_recent";"Release_state";"Hybrid.status";"Group"
"G3";"Jafet";2008;"Sandra Senghaas-Kirschenlohr";2008;"E";"Deutschland";"non-hybrid";"SK"
"G5";"Rebell";2013;"RAGT";2013;"A";"Deutschland";"non-hybrid";"SK"
"G6";"Memory";2013;"Secobra Recherches";2013;"B";"Deutschland";"non-hybrid";"SK"
"G7";"Kurt";2013;"LIMAGRAIN GmbH";2013;"B";"Deutschland";"non-hybrid";"SK"
"G8";"Zappa";2009;"Ackermann Saatzucht";2009;"C";"Deutschland";"non-hybrid";"SK"
"G9";"Chevalier";2005;"DSV";2005;"A";"AT, CZ, LT, LU";"non-hybrid";"SK"
"G10";"Gordian";2013;"Syngenta Seeds";2013;"B";"Deutschland";"non-hybrid";"SK"
"G11";"Mentor";2012;"RAGT/Mellinger";2012;"B";"Deutschland";"non-hybrid";"SK"
"G12";"Meister";2010;"RAGT/Mellinger";2010;"A";"Deutschland";"non-hybrid";"SK"
"G13";"KWS Santiago";2011;"KWS Lochow";2011;"C";"England";"non-hybrid";"SK"
"G15";"Profilus";2008;"RAGT/Mellinger";2008;"A";"Deutschland";"non-hybrid";"SK"
"G17";"KWS Pius";2010;"KWS Lochow";2010;"A";"Deutschland";"non-hybrid";"SK"
"G18";"Paroli";2004;"DSV";2004;"A";"Deutschland";"non-hybrid";"SK"
"G19";"Estivus";2012;"Strube Saatzucht";2012;"A";"Deutschland";"non-hybrid";"SK"
"G20";"Kronjuwel";1980;"Bayrische Saatzuchtgesellschaft";1980;"B";"Deutschland";"non-hybrid";"SK"
"G21";"Desamo";2013;"Syngenta Seeds";2013;"B";"Deutschland";"non-hybrid";"SK"
"G22";"Carenius";2006;"Eger/Dieckmann (EU)";2006;"B";"Deutschland";"non-hybrid";"SK"
"G23";"Mulan";2006;"Nordsaat Saatzucht";2006;"B";"Deutschland";"non-hybrid";"SK"
"G24";"Kredo";2009;"Nordsaat Saatzucht";2009;"B";"Deutschland";"non-hybrid";"SK"
"G25";"Nelson";2011;"Saatzucht Schweiger";2011;"E";"Deutschland";"non-hybrid";"SK"
"G26";"Patras";2012;"DSV";2012;"A";"Deutschland";"non-hybrid";"SK"
"G27";"Götz";1978;"Bayrische Saatzuchtgesellschaft";1978;"B";"Deutschland";"non-hybrid";"SK"
"G29";"Anapolis";2013;"NORDSAAT Saatzuchtgesellschaft";2013;"C";"Deutschland";"non-hybrid";"SK"
"G31";"Biscay";2000;"Lochow-Petkus";2000;"C";"Deutschland";"non-hybrid";"SK"
"G32";"Capone";2012;"LIMAGRAIN GmbH";2012;"A";"Deutschland";"non-hybrid";"SK"
"G33";"Tabasco";2008;"v. Borris-Eckendorf";2008;"C";"Deutschland";"non-hybrid";"SK"
"G34";"Kometus";2011;"Saatzucht Schweiger";2011;"A";"Deutschland";"non-hybrid";"SK"
"G35";"Cubus";2002;"Lochow-Petkus";2002;"A";"Deutschland";"non-hybrid";"SK"
"G36";"Edward";2013;"W. von Borries-Eckendorf";2013;"B";"Deutschland";"non-hybrid";"SK"
"G37";"Famulus";2010;"DSV";2010;"E";"Deutschland";"non-hybrid";"SK"
"G38";"Dekan";1999;"Lochow-Petkus";1999;"B";"Deutschland";"non-hybrid";"SK"
