BrisoNr;Sorte;Züchter;JahrZul;Qualitätsgruppe
20;Kronjuwel;Bayrische Saatzuchtgesellschaft;1980;B
26;Patras;DSV;2012;NA
27;Götz;Bayrische Saatzuchtgesellschaft;1978;B
31;Biscay;Lochow-Petkus;2000;C
38;Dekan;Lochow-Petkus;1999;B
47;Potenzial;DSV;2006;A
50;Hermann;Limagrain-Nickerson;2004;C
54;Tobak;Eckendorf;2011;B
56;Manager;Schweiger;2006;B
59;Ritmo;Cebeco;1993;B
67;Elixer;Eckendorf;2012;C
69;Türkis;SW Seeds;2004;A
71;Greif;Lochow-Petkus;1989;B
80;Inspiration;Saatzucht Breun;2007;B
92;Contra;Saatzucht Breun;1990;C
96;Tommi;Nordsaat;2002;A
99;JB Asano;Saatzucht Breun;2008;A
102;Urban;Bauer, G.;1980;E
104;Flair;Schweiger;1996;B
110;Tabor;Strube;1979;A
114;Progreß;Hege;1969;A
118;Drifter;Nickerson;1999;B
121;Sperber;Lochow-Petkus;1982;A
124;Obelisk;Strube, Dr. H.;1987;B
126;Disponent;Bayrische Saatzuchtgesellschaft;1975;A
131;Rektor;Firlbeck;1980;E
134;Alidos;Saatzucht Hadmersleben;1987;E
135;Monopol;Firlbeck;1975;E
138;Bussard;Lochow-Petkus;1990;E
143;Batis;Strube, Dr. H.;1994;A
145;Akteur;DSV;2003;E
150;Diplomat;Firlbeck;1966;A
153;Kormoran;Lochow-Petkus;1973;A
158;Carimulti;Heidenreich und Eger;1975;C
160;Vuka;Franck;1975;A
162;Apollo;Saatzucht Breun;1984;C
164;Kanzler;Engelen Büchling;1980;B
166;Caribo;Heidenreich und Eger;1968;B
169;Ares;Strube, Dr. H.;1983;B
188;Cardos;Saatzucht Hadmersleben;1998;A
207;Kontrast;Saatzucht Hadmersleben;1990;A
213;Pegassos;Strube, Dr. H.;1994;A
221;Julius;KWS Lochow;2008;A
222;RGT Reform;RAGT;2014;A
223;Benchmark;Sejet;2015;B
224;Barranco;Secobra;2016;E
225;Nordkap;Nordsaat;2016;A
226;Porthus;Strube;2016;B
227;Sheriff;ISZ/Sejet;2016;C
228;Apostel;Streng;2016;A
176;Mironovska 808;NA;1963;NA
205;Highbury;NA;1968;NA
