"Group","id","BRISONr","genotype","RYear","quality","country","decade","maturity","height","breeder","kai","carolin"
"SK",1,"BRISONr_1","Einstein",2004,"B","GB",2000,"S","K","Nickerson/Limagrain",TRUE,FALSE
"SK",10,"BRISONr_10","Gordian",2013,"B","DE",2010,"S","K","Syngenta Seeds",TRUE,TRUE
"SK",100,"BRISONr_100","Kerubino",2004,"E","DE",2000,"S","K","Saatzucht Schmid Landau",TRUE,TRUE
"SK",101,"BRISONr_101","Arktis",2010,"E","DE",2010,"S","K","DSV",TRUE,TRUE
"SK",102,"BRISONr_102","Urban",1980,"E","DE",1980,"S","K","Bauer, G.",TRUE,TRUE
"SK",103,"BRISONr_103","Orestis",1988,"B","DE",1980,"S","K","Strube, Dr. H.",TRUE,TRUE
"SK",104,"BRISONr_104","Flair",1996,"B","DE",1990,"S","K","Schweiger",TRUE,TRUE
"SK",105,"BRISONr_105","Anthus",2005,"B","DE",2000,"S","K","KWS Lochow GmbH",TRUE,TRUE
"SK",106,"BRISONr_106","Bombus",2012,"C","DE",2010,"S","K","Secobra Recherches",TRUE,TRUE
"SK",107,"BRISONr_107","Lucius",2006,"A","DE",2000,"S","K","Secobra Recherches",TRUE,TRUE
"SK",108,"BRISONr_108","Herzog",1986,"A","DE",1980,"S","K","Saatzucht Breun",TRUE,TRUE
"SK",109,"BRISONr_109","Sorbas",1985,"B","DE",1980,"S","K","Strube, Dr. H.",TRUE,TRUE
"SK",11,"BRISONr_11","Mentor",2012,"B","DE",2010,"S","K","RAGT/Mellinger",TRUE,TRUE
"SK",110,"BRISONr_110","Tabor",1979,"A","DE",1970,"S","K","Strube",TRUE,TRUE
"SK",111,"BRISONr_111","Terrier",2001,"B","DE",2000,"S","K","Nickerson",TRUE,TRUE
"SK",112,"BRISONr_112","Magister",2005,"E","DE",2000,"S","K","Bauer",TRUE,TRUE
"SK",113,"BRISONr_113","Altos",2000,"E","DE",2000,"S","K","Syngenta Hadmersleben",TRUE,TRUE
"SK",114,"BRISONr_114","Progress",1969,"A","DE",1960,"S","K","Hege",TRUE,TRUE
"SK",115,"BRISONr_115","Xanthippe",2011,"Ck","DE",2010,"S","K","Sejet Planteforaedling I/S",TRUE,TRUE
"SK",116,"BRISONr_116","Avenir",2013,"A","DE",2010,"S","K","Saatzucht Josef Breun",TRUE,TRUE
"SK",117,"BRISONr_117","Pantus",1966,"A","DE",1960,"S","K","Streng",TRUE,TRUE
