Row;Column;Year;BRISONr;Treatment;Sowing_date;Emergence_date;BBCH59;BBCH87;Plantheight;Seedyield;TKW_plot;Seedyield_bio;Biomass_bio;TKW_bio;Spike_number;Stripe_rust;Powdery_mildew;Leaf_rust;Septoria;DTR;Fusarium;Falling_number;Sedimentation;Crude_protein;Subtrial;Location;Block
2;17;2017;BRISONr_87;HN_WF;278;293;NA;NA;NA;33.7292;40.162;692.32;1360.96;36.46;432;NA;NA;NA;NA;NA;NA;NA;10;8.726936219;1;DKI;B2
2;18;2017;BRISONr_2;HN_WF;278;293;NA;NA;NA;46.0186;38.8462;473.12;931.84;34.75;336;NA;NA;NA;NA;NA;NA;NA;18;8.668042986;1;DKI;B2
2;19;2017;BRISONr_110;HN_WF;278;293;NA;NA;NA;33.0928;42.4582;653.6;1310.88;41.94;368;NA;NA;NA;NA;NA;NA;NA;30;10.78425197;1;DKI;B2
2;20;2017;BRISONr_43;HN_WF;278;293;NA;NA;NA;43.7998;43.8944;535.2;1013.44;46.72;368;NA;NA;NA;NA;NA;NA;NA;17;10.30778409;1;DKI;B2
2;21;2017;BRISONr_80;HN_WF;278;293;NA;NA;NA;39.8782;44.7544;918.56;1738.72;47.41;512;NA;NA;NA;NA;NA;NA;NA;18;10.46908267;1;DKI;B2
2;22;2017;BRISONr_90;HN_WF;278;293;NA;NA;NA;44.4104;41.1596;519.84;1035.68;38.72;400;NA;NA;NA;NA;NA;NA;NA;26;10.52260428;1;DKI;B2
2;23;2017;BRISONr_85;HN_WF;278;293;NA;NA;NA;35.9566;42.914;517.12;1027.84;42.69;336;NA;NA;NA;NA;NA;NA;NA;30;10.2787964;1;DKI;B2
2;24;2017;BRISONr_72;HN_WF;278;293;NA;NA;NA;43.7482;36.55;660.8;1372;37.88;448;NA;NA;NA;NA;NA;NA;NA;24;10.79531603;1;DKI;B2
3;17;2017;BRISONr_74;HN_WF;278;293;NA;NA;NA;38.1754;37.9518;465.44;940.16;37.15;352;NA;NA;NA;NA;NA;NA;NA;30;10.63610169;1;DKI;B2
3;18;2017;BRISONr_118;HN_WF;278;293;NA;NA;NA;28.337;39.775;489.6;1073.92;38.39;400;NA;NA;NA;NA;NA;NA;NA;34;11.49659864;1;DKI;B2
3;19;2017;BRISONr_100;HN_WF;278;293;NA;NA;NA;32.5252;39.1558;458.08;848.8;43.31;320;NA;NA;NA;NA;NA;NA;NA;36;11.17300683;1;DKI;B2
3;20;2017;BRISONr_1;HN_WF;278;293;NA;NA;NA;40.9016;36.1372;415.68;856.64;34.64;320;NA;NA;NA;NA;NA;NA;NA;31;10.58666667;1;DKI;B2
3;21;2017;BRISONr_9;HN_WF;278;293;NA;NA;NA;38.872;39.4482;538.24;1135.36;37.84;496;NA;NA;NA;NA;NA;NA;NA;33;10.48318335;1;DKI;B2
3;22;2017;BRISONr_71;HN_WF;278;293;NA;NA;NA;42.0884;41.495;471.68;854.88;40;352;NA;NA;NA;NA;NA;NA;NA;23;9.587767756;1;DKI;B2
