BRISONr;Treatment;Block;Row;Column;Year;Location;Subtrial;Sowing_date;Emergence_date;BBCH59;BBCH87;Plantheight;Seedyield;Seedyield_bio;Biomass_bio;TKW_plot;TKW_bio;Spike_number;Stripe_rust;Powdery_mildew;Leaf_rust;Septoria;DTR;Fusarium;Falling_number;Crude_protein;Sedimentation;Subblock
BRISONr_71;HN_WF;B1;2;9;2019;DKI;1;283;NA;151;198;83;55.8570;490.92;906.16;37.1262;39.34;317;NA;NA;NA;NA;NA;NA;NA;10.57;30;SB1
BRISONr_153;HN_WF;B1;2;10;2019;DKI;1;283;NA;153;198;98;49.1662;590.83;1229.58;36.3264;37.59;383;NA;NA;NA;NA;NA;NA;NA;12.25;53;SB1
BRISONr_226;HN_WF;B1;2;11;2019;DKI;1;283;NA;151;198;79;63.4164;643.75;1188.75;40.7210;40.35;350;NA;NA;NA;NA;NA;NA;NA;11.20;32;SB1
BRISONr_162;HN_WF;B1;2;12;2019;DKI;1;283;NA;156;203;83;56.9148;466.58;1039.75;42.4152;43.31;333;NA;NA;NA;NA;NA;NA;NA;12.36;35;SB1
BRISONr_26;HN_WF;B1;3;9;2019;DKI;1;283;NA;153;199;83;46.8012;593.92;1185.33;39.2676;43.93;325;NA;NA;NA;NA;NA;NA;NA;11.96;43;SB2
BRISONr_169;HN_WF;B1;3;10;2019;DKI;1;283;NA;153;198;83;43.8600;437.42;1019.92;34.9418;33.72;342;NA;NA;NA;NA;NA;NA;NA;12.73;40;SB2
BRISONr_166;HN_WF;B1;3;11;2019;DKI;1;283;NA;154;199;94;49.8198;477.42;1104.25;38.5796;40.33;392;NA;NA;NA;NA;NA;NA;NA;11.55;36;SB2
BRISONr_67;HN_WF;B1;3;12;2019;DKI;1;283;NA;153;199;91;63.4766;673.33;1312.75;37.7282;38.51;375;NA;NA;NA;NA;NA;NA;NA;11.29;21;SB2
BRISONr_134;HN_WF;B1;4;9;2019;DKI;1;283;NA;154;200;85;59.3830;619.83;1330.92;41.3746;43.85;367;NA;NA;NA;NA;NA;NA;NA;13.80;59;SB3
BRISONr_188;HN_WF;B1;4;10;2019;DKI;1;283;NA;153;199;89;55.3324;526.58;1119.08;43.5848;42.88;375;NA;NA;NA;NA;NA;NA;NA;12.70;53;SB3
BRISONr_222;HN_WF;B1;4;11;2019;DKI;1;283;NA;154;203;83;64.0442;695.17;1319.00;41.2456;44.66;375;NA;NA;NA;NA;NA;NA;NA;10.80;45;SB3
BRISONr_69;HN_WF;B1;4;12;2019;DKI;1;283;NA;155;203;92;73.7536;812.75;1681.08;40.7812;40.98;492;NA;NA;NA;NA;NA;NA;NA;12.11;20;SB3
BRISONr_96;HN_WF;B1;5;9;2019;DKI;1;283;NA;155;203;85;66.0996;869.83;1604.17;41.5208;43.49;342;NA;NA;NA;NA;NA;NA;NA;12.71;50;SB4
BRISONr_27;HN_WF;B1;5;10;2019;DKI;1;283;NA;156;205;81;53.6468;467.58;981.83;38.5194;38.02;283;NA;NA;NA;NA;NA;NA;NA;12.95;19;SB4
BRISONr_99;HN_WF;B1;5;11;2019;DKI;1;283;NA;151;200;89;68.4216;801.17;1533.08;44.5996;49.14;392;NA;NA;NA;NA;NA;NA;NA;12.31;45;SB4
BRISONr_38;HN_WF;B1;5;12;2019;DKI;1;283;NA;154;200;84;73.2290;748.75;1379.08;40.6952;42.96;367;NA;NA;NA;NA;NA;NA;NA;12.42;43;SB4
BRISONr_207;HN_WF;B1;6;9;2019;DKI;1;283;NA;151;199;83;58.0328;764.17;1563.25;39.7406;41.80;408;NA;NA;NA;NA;NA;NA;NA;13.82;60;SB5
BRISONr_110;HN_WF;B1;6;10;2019;DKI;1;283;NA;NA;203;89;59.9334;647.58;1424.84;38.2528;42.94;367;NA;NA;NA;NA;NA;NA;NA;13.41;37;SB5
BRISONr_160;HN_WF;B1;6;11;2019;DKI;1;283;NA;158;205;91;56.7772;636.33;1461.42;42.6388;43.60;350;NA;NA;NA;NA;NA;NA;NA;13.99;50;SB5
BRISONr_223;HN_WF;B1;6;12;2019;DKI;1;283;NA;153;199;89;70.5974;594.50;1224.84;37.7970;37.16;392;NA;NA;NA;NA;NA;NA;NA;11.33;33;SB5
BRISONr_150;HN_WF;B1;7;9;2019;DKI;1;283;NA;156;200;80;46.9044;601.17;1398.83;40.7984;41.43;392;NA;NA;NA;NA;NA;NA;NA;14.04;51;SB6
BRISONr_205;HN_WF;B1;7;10;2019;DKI;1;283;NA;151;199;92;56.5020;609.25;1218.75;31.4846;33.57;358;NA;NA;NA;NA;NA;NA;NA;12.33;47;SB6
BRISONr_118;HN_WF;B1;7;11;2019;DKI;1;283;NA;155;199;84;60.4838;588.25;1175.42;41.3660;45.13;333;NA;NA;NA;NA;NA;NA;NA;12.94;40;SB6
BRISONr_59;HN_WF;B1;7;12;2019;DKI;1;283;NA;155;203;79;68.1550;757.67;1480.08;42.0798;45.18;450;NA;NA;NA;NA;NA;NA;NA;11.73;35;SB6
BRISONr_227;HN_WF;B1;8;9;2019;DKI;1;283;NA;153;199;87;69.4708;1045.42;1988.00;38.3474;40.58;583;NA;NA;NA;NA;NA;NA;NA;11.51;36;SB7
BRISONr_31;HN_WF;B1;8;10;2019;DKI;1;283;NA;155;203;81;66.2544;954.08;1850.17;40.5748;43.45;558;NA;NA;NA;NA;NA;NA;NA;11.85;28;SB7
BRISONr_221;HN_WF;B1;8;11;2019;DKI;1;283;NA;155;205;88;64.6720;758.92;1554.83;41.3746;43.10;442;NA;NA;NA;NA;NA;NA;NA;11.96;48;SB7
