Row;Column;BRISONr;Year;Location;Subtrial;Treatment;Block;Sowing_date;Emergence_date;BBCH59;BBCH87;Plantheight;Seedyield;Seedyield_bio;Biomass_bio;TKW_plot;TKW_bio;Spike_number;Stripe_rust;Powdery_mildew;Leaf_rust;Septoria;DTR;Fusarium;Sedimentation;Falling_number;Crude_protein
2;85;BRISONr_1;2015;GGE;1;LN_NF;B1;314;NA;149;NA;81;58.65;461.55384;982.66;53.73;45.73;360.18;NA;NA;NA;NA;NA;NA;20.63;384.5;10.18
9;54;BRISONr_1;2015;GGE;1;LN_NF;B2;314;NA;NA;NA;79;70.18;597.54024;1115.99;50.83;45.6;333.5;1;1;NA;1;NA;NA;18.6;374.5;10.21
2;46;BRISONr_2;2015;GGE;1;LN_NF;B1;314;NA;150;NA;80;56.16;465.82008;978.66;49.83;42.45;293.48;NA;NA;NA;NA;NA;NA;9.51;295.5;9.02
9;100;BRISONr_2;2015;GGE;1;LN_NF;B2;314;NA;NA;NA;73;61.06;495.41712;982.66;NA;42.61;320.16;4;1;NA;1;NA;NA;9.79;232;8.81
1;71;BRISONr_3;2015;GGE;1;LN_NF;B1;314;NA;151;NA;78;63.04;564.87684;1026.66;51.67;51.42;306.82;NA;NA;NA;NA;NA;NA;36.56;501.33;11.8
10;55;BRISONr_3;2015;GGE;1;LN_NF;B2;314;NA;NA;NA;78;54.01;681.39852;1307.99;52.93;50.31;426.88;1;1;NA;1;NA;NA;28.72;432.5;10.44
2;44;BRISONr_4;2015;GGE;1;LN_NF;B1;314;NA;150;NA;87;67.94;742.32576;1570.65;50.03;44.69;400.2;NA;NA;NA;NA;NA;NA;5.72;335;9.12
10;75;BRISONr_4;2015;GGE;1;LN_NF;B2;314;NA;NA;NA;81;71.55;748.72512;1507.98;NA;43.33;453.56;1;2;NA;1;NA;NA;5.72;342.5;8.79
1;33;BRISONr_5;2015;GGE;1;LN_NF;B1;314;NA;148;NA;78;68.97;672.19944;1275.99;49.77;42.8;360.18;NA;NA;NA;NA;NA;NA;23.26;426.5;10.4
10;65;BRISONr_5;2015;GGE;1;LN_NF;B2;314;NA;NA;NA;86;71.98;813.9186;1595.98;50.4;41.93;386.86;1;1;NA;1;NA;NA;21.28;378;9.66
1;54;BRISONr_6;2015;GGE;1;LN_NF;B1;314;NA;149;NA;81;66.22;594.34056;1139.99;42.63;41.9;426.88;NA;NA;NA;NA;NA;NA;26.57;423.5;10.21
9;112;BRISONr_6;2015;GGE;1;LN_NF;B2;314;NA;NA;NA;83;NA;655.00116;1358.65;46.3;41.57;466.9;1;1;NA;1;NA;NA;17.85;411;9.66
1;61;BRISONr_7;2015;GGE;1;LN_NF;B1;314;NA;150;NA;72;66.48;729.66036;1406.65;46.23;41.49;453.56;NA;NA;NA;NA;NA;NA;14.85;398.5;10.12
9;105;BRISONr_7;2015;GGE;1;LN_NF;B2;314;NA;NA;NA;81;65.88;650.33496;1246.65;47.87;42.68;426.88;1;1;NA;1;NA;NA;10.06;349.5;9.01
2;53;BRISONr_8;2015;GGE;1;LN_NF;B1;314;NA;151;NA;84;62.09;725.12748;1470.65;47.7;48.18;453.56;NA;NA;NA;NA;NA;NA;10.06;327;9.92
10;96;BRISONr_8;2015;GGE;1;LN_NF;B2;314;NA;NA;NA;85;65.36;594.34056;1131.99;51.23;47.48;253.46;1;1;NA;1;NA;NA;8.86;276;9.52
