ReifeHoehe;Row;Column;BRISONr;Year;Location;Subtrial;Treatment;Block;Sowing_date;Emergence_date;BBCH59;BBCH87;Plantheight;Seedyield;Seedyield_bio;Biomass_bio;TKW_plot;TKW_bio;Spike_number;Stripe_rust;Powdery_mildew;Leaf_rust;Septoria;DTR;Fusarium;Sedimentation;Falling_number;Crude_protein
SK;3;57;BRISONR_1;2017;GGE;1;LN_NF;B1;305;NA;NA;NA;84.6;67.61229178;662.8646;1344.005;48.2;NA;393.53;1;8;1;4;NA;1;29;NA;11.10469457
SK;3;66;BRISONR_2;2017;GGE;1;LN_NF;B1;305;NA;NA;NA;77;74.04184492;818.6758;1638.819;46.4;NA;460.23;1;1;1;NA;NA;1;22;NA;9.688907658
SK;4;37;BRISONR_3;2017;GGE;1;LN_NF;B1;305;NA;NA;NA;78.6;64.98435852;596.6315;1107.887;51.43333333;NA;333.5;1;5;1;1;NA;1;34;NA;11.04100112
SK;4;81;BRISONR_4;2017;GGE;1;LN_NF;B1;305;NA;NA;NA;80.8;69.30196802;765.2491;1596.798;45.66666667;NA;493.58;1;4;1;4;NA;1;14;NA;10.58556059
SK;4;43;BRISONR_5;2017;GGE;1;LN_NF;B1;305;NA;NA;NA;84.8;73.28433993;604.969;1322.661;41.03333333;NA;406.87;1;6;1;5;NA;1;23;NA;10.36009019
SK;4;54;BRISONR_6;2017;GGE;1;LN_NF;B1;305;NA;NA;NA;83.6;70.99549461;765.6493;1547.44;44.73333333;NA;466.9;1;4;1;4;NA;1;30;NA;10.18025872
SK;4;35;BRISONR_7;2017;GGE;1;LN_NF;B1;305;NA;NA;NA;84.4;69.14864865;456.4281;857.762;46;NA;293.48;3;5;1;3;NA;1;25;NA;9.975563063
SK;4;88;BRISONR_8;2017;GGE;1;LN_NF;B1;305;NA;NA;NA;77;61.1205036;495.1808;1070.535;45.06666667;NA;286.81;1;3;1;2;NA;1;14;NA;11.58106576
SK;4;49;BRISONR_9;2017;GGE;1;LN_NF;B1;305;NA;NA;NA;85.2;68.84383302;517.7254;1053.193;45.86666667;NA;420.21;1;1;1;4;NA;1;30;NA;10.86074241
SK;3;82;BRISONR_10;2017;GGE;1;LN_NF;B1;305;NA;NA;NA;96.2;62.32730944;517.3252;1068.534;42.03333333;NA;286.81;1;1;1;3;NA;1;30;NA;11.05191441
SK;4;80;BRISONR_11;2017;GGE;1;LN_NF;B1;305;NA;NA;NA;82.2;70.0094414;781.3905;1526.096;43.5;NA;440.22;1;6;1;1;NA;1;32;NA;10.3824263
SK;3;48;BRISONR_12;2017;GGE;1;LN_NF;B1;305;NA;NA;NA;88.2;74.17835281;707.4869;1418.709;47.36666667;NA;413.54;3;7;1;4;NA;1;30;NA;10.75118913
SK;3;76;BRISONR_13;2017;GGE;1;LN_NF;B1;305;NA;NA;NA;79.6;74.65673833;964.5487;1921.627;46.06666667;NA;580.29;1;6;1;6;NA;1;17;NA;10.21825397
SK;3;65;BRISONR_14;2017;GGE;1;LN_NF;B1;305;NA;NA;NA;71.8;60.80291457;629.7814;1358.012;47;NA;406.87;1;1;1;3;NA;1;10;NA;10.83724374
SK;4;65;BRISONR_15;2017;GGE;1;LN_NF;B1;305;NA;NA;NA;89.6;74.03443709;842.9546;1702.184;46.16666667;NA;526.93;1;5;1;4;NA;1;24;NA;10.29440678
SK;4;44;BRISONR_16;2017;GGE;1;LN_NF;B1;305;NA;NA;NA;81;62.51592357;767.9171;1497.415;46.4;NA;473.57;1;4;1;5;NA;1;13;NA;10.88539773
SK;3;55;BRISONR_17;2017;GGE;1;LN_NF;B1;305;NA;NA;NA;87.8;71.36380832;1016.2412;2057.695;48.26666667;NA;540.27;1;4;1;5;NA;1;30;NA;11.75932203
SK;4;66;BRISONR_18;2017;GGE;1;LN_NF;B1;305;NA;NA;NA;88.8;76.45948276;890.6451;1787.56;49.46666667;NA;480.24;1;3;1;1;NA;1;29;NA;10.22418264
SK;4;68;BRISONR_19;2017;GGE;1;LN_NF;B1;305;NA;NA;NA;90.4;66.23665786;893.0463;1876.938;47.86666667;NA;526.93;1;1;1;3;NA;1;27;NA;10.62403846
SK;4;64;BRISONR_20;2017;GGE;1;LN_NF;B1;305;NA;NA;NA;91;59.40034305;482.7079;1209.271;43.5;NA;433.55;1;2;1;3;NA;1;31;NA;12.39887006
SK;3;31;BRISONR_21;2017;GGE;1;LN_NF;B1;305;NA;NA;NA;83.2;70.8248;1082.6744;2206.436;44.9;NA;573.62;1;4;1;5;NA;1;27;NA;11.70823928
SK;3;33;BRISONR_22;2017;GGE;1;LN_NF;B1;305;NA;NA;NA;78.2;68.99679389;696.1479;1460.063;40.26666667;NA;460.23;1;6;1;4;NA;1;27;NA;11.14599323
SK;4;30;BRISONR_23;2017;GGE;1;LN_NF;B1;305;NA;NA;NA;92.2;75.13805584;1039.6529;1986.326;48.53333333;NA;673.67;1;3;1;4;NA;1;24;NA;10.57883747
SK;4;32;BRISONR_24;2017;GGE;1;LN_NF;B1;305;NA;NA;NA;80.8;68.02574713;661.664;1363.348;47.03333333;NA;373.52;1;8;1;1;NA;1;41;NA;14.39414414
SK;3;83;BRISONR_25;2017;GGE;1;LN_NF;B1;305;NA;NA;NA;87.2;59.05531197;579.3562;1221.277;50.23333333;NA;360.18;1;4;1;3;NA;1;40;NA;11.81649832
SK;3;46;BRISONR_26;2017;GGE;1;LN_NF;B1;305;NA;NA;NA;88.6;76.84996982;690.2116;1572.786;54.96666667;NA;493.58;3;5;1;2;NA;1;31;NA;10.62452193
SK;4;67;BRISONR_27;2017;GGE;1;LN_NF;B1;305;NA;NA;NA;80.4;61.03983927;701.3505;1568.784;42.93333333;NA;480.24;4;1;1;4;NA;1;11;NA;11.74034091
SK;4;29;BRISONR_28;2017;GGE;1;LN_NF;B1;305;NA;NA;NA;71.6;60.9462;596.0979;1239.953;47.7;NA;446.89;1;4;1;3;NA;1;14;NA;11.0659322
SK;3;52;BRISONR_29;2017;GGE;1;LN_NF;B1;305;NA;NA;NA;80.4;68.84465409;493.2465;1076.538;53.63333333;NA;320.16;4;6;1;5;NA;1;27;NA;11.5543722
SK;4;69;BRISONR_30;2017;GGE;1;LN_NF;B1;305;NA;NA;NA;86;67.85069357;1047.6569;2087.71;46.16666667;NA;753.71;1;1;1;3;NA;1;26;NA;10.47727784
