BRISONr;Year;Location;Treatment;Block;Sowing_date;Emergence_date;BBCH59;BBCH87;Plantheight;Seedyield;Fusarium;Septoria;Powdery_mildew;Leaf_rust;Stripe_rust;Crude_protein;Sedimentation
BRISONr_134;2019;GGE;HN_WF;B2;295;314;149;NA;105;54.87714971;NA;3;1;1;1;15.63175676;45
BRISONr_99;2019;GGE;HN_WF;B2;295;314;145;NA;100;60.43764227;NA;5;1;1;1;14.41016949;35
BRISONr_20;2019;GGE;HN_WF;B2;295;314;149;NA;90;50.85305827;NA;3;1;1;1;15.11754781;40
BRISONr_138;2019;GGE;HN_WF;B2;295;314;146;NA;105;56.21529514;NA;3;1;1;1;15.31489842;60
BRISONr_50;2019;GGE;HN_WF;B2;295;314;150;NA;95;50.32546842;NA;3;1;1;3;15.2240991;40
BRISONr_207;2019;GGE;HN_WF;B2;295;314;144;NA;100;57.38409187;NA;2;1;1;1;13.75986471;42
BRISONr_31;2019;GGE;HN_WF;B2;295;314;147;NA;90;63.63055497;NA;2;1;1;1;13.33990981;20
BRISONr_102;2019;GGE;HN_WF;B2;295;314;145;NA;100;58.03810842;NA;2;2;1;1;13.68340858;41
BRISONr_67;2019;GGE;HN_WF;B2;295;314;147;NA;100;70.66413994;NA;2;1;1;1;12.6608154;24
BRISONr_38;2019;GGE;HN_WF;B2;295;314;146;NA;100;63.85611792;NA;1;1;1;2;13.43265993;36
BRISONr_153;2019;GGE;HN_WF;B2;295;314;147;NA;110;52.93294181;NA;1;1;1;1;13.71636771;40
BRISONr_205;2019;GGE;HN_WF;B2;295;314;142;NA;95;57.09625357;NA;5;2;1;1;13.84624018;34
BRISONr_54;2019;GGE;HN_WF;B2;295;314;147;NA;95;68.30011006;NA;1;1;1;1;12.95367232;32
BRISONr_47;2019;GGE;HN_WF;B2;295;314;148;NA;95;62.14554503;NA;2;1;2;1;13.49887892;40
BRISONr_27;2019;GGE;HN_WF;B2;295;314;148;NA;90;52.13541115;NA;2;1;1;3;13.8407281;22
BRISONr_158;2019;GGE;HN_WF;B2;295;314;149;NA;95;46.22182714;NA;2;4;1;1;14.82336343;35
BRISONr_121;2019;GGE;HN_WF;B2;295;314;149;NA;105;55.21966357;NA;1;1;1;1;14.03837472;39
BRISONr_143;2019;GGE;HN_WF;B2;295;314;147;NA;105;60.85350148;NA;1;3;1;1;14.33201804;35
BRISONr_227;2019;GGE;HN_WF;B2;295;314;146;NA;90;64.15085032;NA;1;1;1;1;13.24155405;33
BRISONr_131;2019;GGE;HN_WF;B2;295;314;146;NA;105;49.64020332;NA;2;5;1;1;14.56292517;33
BRISONr_110;2019;GGE;HN_WF;B2;295;314;149;NA;95;45.40551015;NA;2;3;2;1;14.34234234;35
BRISONr_169;2019;GGE;HN_WF;B2;295;314;147;NA;115;56.44567039;NA;1;1;1;1;13.49773243;30
BRISONr_176;2019;GGE;HN_WF;B2;295;314;145;NA;105;63.55508374;NA;1;2;1;1;13.66572717;42
BRISONr_221;2019;GGE;HN_WF;B2;295;314;149;NA;95;54.58127619;NA;1;1;1;1;13.93505039;37
BRISONr_59;2019;GGE;HN_WF;B2;295;314;149;NA;90;60.9091742;NA;2;1;1;1;12.875;29
BRISONr_96;2019;GGE;HN_WF;B2;295;314;149;NA;95;61.24289503;NA;1;1;1;1;13.51245753;34
BRISONr_80;2019;GGE;HN_WF;B2;295;314;148;NA;95;65.51523011;NA;2;1;1;1;12.80668934;25
BRISONr_226;2019;GGE;HN_WF;B2;295;314;145;NA;95;67.21148814;NA;1;1;1;2;12.78571429;25
BRISONr_145;2019;GGE;HN_WF;B2;295;314;149;NA;100;58.48549136;NA;2;1;1;3;14.32267116;40
BRISONr_228;2019;GGE;HN_WF;B2;295;314;146;NA;95;68.94405432;NA;2;1;1;1;12.799547;33
BRISONr_69;2019;GGE;HN_WF;B2;295;314;147;NA;95;59.66126842;NA;1;1;1;1;12.73782559;22
BRISONr_124;2019;GGE;HN_WF;B2;295;314;148;NA;95;54.4344607;NA;2;1;1;1;14.11155153;30
BRISONr_?;2019;GGE;HN_WF;B2;295;314;147;NA;90;69.51281402;NA;2;1;1;1;NA;NA
BRISONr_158;2019;GGE;HN_WF;B2;295;314;149;NA;110;0;NA;1;2;1;1;14.82336343;35
BRISONr_213;2019;GGE;HN_WF;B2;295;314;145;NA;100;63.97802092;NA;1;2;1;1;13.63954802;33
BRISONr_224;2019;GGE;HN_WF;B2;295;314;147;NA;95;64.42867334;NA;2;1;1;1;12.60078829;39
