Row;Column;BRISONr;Year;Location;Subtrial;Treatment;Block;Sowing_date;Emergence_date;BBCH59;BBCH87;Plantheight;Seedyield;Seedyield_bio;Biomass_bio;TKW_plot;TKW_bio;Spike_number;Stripe_rust;Powdery_mildew;Leaf_rust;Septoria;DTR;Fusarium;Sedimentation;Falling_number;Crude_protein
5;31;BRISONr_1;2015;HAN;1;HN_NF;B1;301;321;156;NA;84;81.19466667;1344.677661;2855.322339;37.175;35.2743561;1064.467766;0.5;NA;NA;10;0;NA;36.357;331.5;12.4681713
32;20;BRISONr_1;2015;HAN;1;HN_NF;B2;301;321;NA;NA;NA;80.11033333;944.5277361;1935.832084;39.45;39.06488433;689.6551724;NA;NA;NA;NA;NA;NA;29.4615;380;11.70632184
6;2;BRISONr_1;2015;HAN;1;HN_WF;B1;301;321;155;NA;85;106.1255;1390.554723;2640.329835;42.75;44.1606551;854.5727136;NA;NA;NA;NA;NA;NA;34.314;394.5;12.95207852
28;31;BRISONr_1;2015;HAN;1;HN_WF;B2;301;321;NA;NA;NA;101.7835;1012.593703;1982.458771;45.15;45.24979525;599.7001499;NA;NA;NA;NA;NA;NA;35.7385;399;12.34885057
5;20;BRISONr_1;2015;HAN;1;LN_NF;B1;301;321;155;NA;86;77.5764;836.131934;1757.571214;48.425;44.76984095;614.6926537;0;NA;NA;5;0;NA;15.818;362.5;9.622087659
30;3;BRISONr_1;2015;HAN;1;LN_NF;B2;301;321;NA;NA;NA;87.9975;926.8365817;1886.956522;44.35;46.08392796;569.7151424;NA;NA;NA;NA;NA;NA;21.952;384;10.588812
1;25;BRISONr_10;2015;HAN;1;HN_NF;B1;301;321;158;NA;97;90.57975;1083.958021;2449.175412;39.625;35.71610796;854.5727136;3;NA;NA;5;0;NA;38.7675;339;12.32105869
28;13;BRISONr_10;2015;HAN;1;HN_NF;B2;301;321;NA;NA;NA;96.81991667;853.6731634;1677.661169;39.65;38.24217607;539.7301349;NA;NA;NA;NA;NA;NA;38.6655;370;11.84310345
11;10;BRISONr_10;2015;HAN;1;HN_WF;B1;301;321;158;NA;98;102.6446667;1144.527736;2461.01949;43.375;38.99361508;809.5952024;NA;NA;NA;NA;NA;NA;39.4625;397;12.92321016
26;29;BRISONr_10;2015;HAN;1;HN_WF;B2;301;321;NA;NA;NA;104.25;1397.901049;2921.73913;40.425;35.73069266;899.5502249;NA;NA;NA;NA;NA;NA;43.178;389.5;13.15344828
3;12;BRISONr_10;2015;HAN;1;LN_NF;B1;301;321;156;NA;98;93.70533333;1229.535232;2529.085457;41.225;39.37557164;794.6026987;0;NA;NA;0.5;0;NA;24.173;325.5;9.752564103
28;11;BRISONr_10;2015;HAN;1;LN_NF;B2;301;321;NA;NA;NA;84.795;962.0689655;1982.158921;43.45;39.68316457;629.6851574;NA;NA;NA;NA;NA;NA;17.084;365.5;8.913866513
7;29;BRISONr_100;2015;HAN;1;HN_NF;B1;301;321;156;NA;92;56.056;649.7751124;1602.248876;36.275;32.89509279;884.5577211;0;NA;NA;0.5;0;NA;40.848;339;12.44767442
29;16;BRISONr_100;2015;HAN;1;HN_NF;B2;301;321;NA;NA;NA;62.2207;971.5142429;2250.224888;38;37.315511;1079.46027;NA;NA;NA;NA;NA;NA;35.753;381.5;13.45637199
13;11;BRISONr_100;2015;HAN;1;HN_WF;B1;301;321;155;NA;97;88.5;1213.493253;2602.548726;44.95;43.30302746;1079.46027;NA;NA;NA;NA;NA;NA;34.662;389;13.27655889
27;25;BRISONr_100;2015;HAN;1;HN_WF;B2;301;321;NA;NA;NA;91.98;1192.053973;2569.715142;44.4;43.76556215;974.5127436;NA;NA;NA;NA;NA;NA;41.5385;372.5;13.5812212
15;14;BRISONr_100;2015;HAN;1;LN_NF;B1;301;321;155;NA;101;59.3175;680.5097451;1617.991004;40.975;38.91993397;689.6551724;15;NA;NA;2;0;NA;34.9695;337.5;12.1744186
40;8;BRISONr_100;2015;HAN;1;LN_NF;B2;301;321;NA;NA;NA;59.9025;453.8230885;1127.886057;41;35.39933704;509.7451274;NA;NA;NA;NA;NA;NA;29.4245;367;11.69349078
5;25;BRISONr_101;2015;HAN;1;HN_NF;B1;301;321;157;NA;100;73.56166667;871.2143928;2041.229385;37.7;34.90497076;794.6026987;0;NA;NA;5;0;NA;39.7095;390.5;12.70881671
40;15;BRISONr_101;2015;HAN;1;HN_NF;B2;301;321;NA;NA;NA;68.38753333;938.6806597;2102.548726;34.775;36.96870302;734.6326837;NA;NA;NA;NA;NA;NA;45.5715;402;15.40114943
1;10;BRISONr_101;2015;HAN;1;HN_WF;B1;301;321;156;NA;97;88.56466667;1246.026987;2668.365817;45.7;43.57484621;914.5427286;NA;NA;NA;NA;NA;NA;34.868;392.5;12.7390553
36;30;BRISONr_101;2015;HAN;1;HN_WF;B2;301;321;NA;NA;NA;98.53783333;879.7601199;1923.088456;41.55;37.59398496;644.6776612;NA;NA;NA;NA;NA;NA;38.287;396;13.93029954
6;13;BRISONr_101;2015;HAN;1;LN_NF;B1;301;321;156;NA;113;79.94425;1221.289355;2697.001499;43.15;43.19674578;794.6026987;0;NA;NA;1.5;0;NA;32.788;324.5;10.4460373
31;7;BRISONr_101;2015;HAN;1;LN_NF;B2;301;321;NA;NA;NA;75.32366667;770.3148426;1919.34033;44.025;40.98429495;569.7151424;NA;NA;NA;NA;NA;NA;22.5045;348;9.725806452
12;26;BRISONr_102;2015;HAN;1;HN_NF;B1;301;321;159;NA;98;52.981725;346.0269865;1129.385307;41.825;31.90690691;509.7451274;8;NA;NA;3;0.5;NA;42.9585;312.5;14.25461894
31;14;BRISONr_102;2015;HAN;1;HN_NF;B2;301;321;NA;NA;NA;53.76671667;633.2833583;1414.992504;40.725;37.73638642;764.6176912;NA;NA;NA;NA;NA;NA;42.428;273;14.33524684
11;5;BRISONr_102;2015;HAN;1;HN_WF;B1;301;321;159;NA;105;85.0425;701.4992504;1849.925037;44.725;39.77416498;674.6626687;NA;NA;NA;NA;NA;NA;39.3555;353;13.38541667
32;30;BRISONr_102;2015;HAN;1;HN_WF;B2;301;321;NA;NA;NA;83.2725;1053.523238;2598.50075;44.5;40.90133494;929.5352324;NA;NA;NA;NA;NA;NA;43.6345;351.5;13.66283084
12;19;BRISONr_102;2015;HAN;1;LN_NF;B1;301;321;157;NA;99;56.51066667;643.7781109;1722.188906;45.6;42.73816482;659.6701649;12.5;NA;NA;0;3;NA;24.889;288;10.1426097
31;10;BRISONr_102;2015;HAN;1;LN_NF;B2;301;321;NA;NA;NA;56.44275;472.8635682;1212.293853;45.875;43.61956894;614.6926537;NA;NA;NA;NA;NA;NA;28.3685;302.5;10.71774194
13;28;BRISONr_103;2015;HAN;1;HN_NF;B1;301;321;159;NA;105;54.43533333;622.9385307;1604.797601;32.125;28.90197553;644.6776612;1;NA;NA;5;0;NA;37.032;369.5;12.01612903
33;19;BRISONr_103;2015;HAN;1;HN_NF;B2;301;321;NA;NA;NA;69.47091667;632.3838081;1540.329835;34.475;30.21396232;599.7001499;NA;NA;NA;NA;NA;NA;32.052;435;11.72963176
9;4;BRISONr_103;2015;HAN;1;HN_WF;B1;301;321;161;NA;99;69.04916667;1548.725637;3429.835082;42.075;36.63790211;1079.46027;NA;NA;NA;NA;NA;NA;35.108;425;13.31199539
37;29;BRISONr_103;2015;HAN;1;HN_WF;B2;301;321;NA;NA;NA;95.3175;1277.511244;2759.670165;39.35;39.30016369;869.5652174;NA;NA;NA;NA;NA;NA;42.146;375.5;13.59551208
6;17;BRISONr_103;2015;HAN;1;LN_NF;B1;301;321;158;NA;106;72.12049167;709.2953523;1561.469265;42.175;39.84126984;464.7676162;0;NA;NA;0;0;NA;20.531;359;8.955080831
39;7;BRISONr_103;2015;HAN;1;LN_NF;B2;301;321;NA;NA;NA;74.145;910.1949025;2098.050975;41.725;40.24943311;629.6851574;NA;NA;NA;NA;NA;NA;24.616;372.5;8.616206897
6;28;BRISONr_104;2015;HAN;1;HN_NF;B1;301;321;160;NA;92;52.118;540.17991;1443.028486;35.175;29.54370898;674.6626687;20;NA;NA;5;0;NA;42.0435;226;13.05413271
31;13;BRISONr_104;2015;HAN;1;HN_NF;B2;301;321;NA;NA;NA;56.172;540.6296852;1362.368816;36.1;31.65349441;779.6101949;NA;NA;NA;NA;NA;NA;38.3215;298.5;13.50172414
7;6;BRISONr_104;2015;HAN;1;HN_WF;B1;301;321;158;NA;103;88.49866667;814.2428786;1982.758621;36.725;30.77651515;779.6101949;NA;NA;NA;NA;NA;NA;27.615;325;12.92592593
39;24;BRISONr_104;2015;HAN;1;HN_WF;B2;301;321;NA;NA;NA;91.55133333;987.4062969;2210.044978;41.475;36.66989039;779.6101949;NA;NA;NA;NA;NA;NA;32.587;273;12.11059908
14;12;BRISONr_104;2015;HAN;1;LN_NF;B1;301;321;158;NA;110;61.07933333;845.4272864;2089.505247;37.55;31.65698257;869.5652174;28.5;NA;NA;0.5;0;NA;35.094;273;11.67179487
26;4;BRISONr_104;2015;HAN;1;LN_NF;B2;301;321;NA;NA;NA;55.39625;597.6011994;1628.635682;39.425;35.59440117;734.6326837;NA;NA;NA;NA;NA;NA;34.835;294;12.14096663
10;23;BRISONr_105;2015;HAN;1;HN_NF;B1;301;321;159;NA;92;82.39;843.928036;1822.488756;40.4;36.65413534;734.6326837;0;NA;NA;7.5;0;NA;34.4465;357.5;11.23830645
