"Row";"Column";"BRISONr";"Year";"Location";"Subtrial";"Treatment";"Block";"Sowing_date";"Emergence_date";"BBCH59";"BBCH87";"Plantheight";"Seedyield";"Seedyield_bio";"Biomass_bio";"TKW_plot";"TKW_bio";"Spike_number";"Stripe_rust";"Powdery_mildew";"Leaf_rust";"Septoria";"DTR";"Fusarium";"Sedimentation";"Falling_number";"Crude_protein"
11;4;"BRISONr_1";2017;"HAN";1;"LN_NF";"B1";306;NA;NA;NA;77;60.22;617.6911544;1254.12;41.3;38.05;374.81;1;0;0;3;0;NA;18;NA;8.84
10;11;"BRISONr_2";2017;"HAN";1;"LN_NF";"B1";306;NA;NA;NA;72;51.76;632.3838081;1214.39;40.03;40.93;389.81;10;0;0;10;0;NA;10;NA;6.68
18;10;"BRISONr_3";2017;"HAN";1;"LN_NF";"B1";306;NA;NA;NA;84;53.55;709.7451274;1515.59;45.73;43.2;509.75;0;0;0;7.5;1;NA;25;NA;8.96
14;10;"BRISONr_4";2017;"HAN";1;"LN_NF";"B1";306;NA;NA;NA;76;48.84;733.5832084;1589.66;39.9;35.3;479.76;17.5;0;0;5;3;NA;4;NA;7.15
8;5;"BRISONr_5";2017;"HAN";1;"LN_NF";"B1";306;NA;NA;NA;83;70.12;872.113943;1823.09;37.33;35.35;554.72;0;0;0;0;0;NA;17;NA;9.46
16;4;"BRISONr_6";2017;"HAN";1;"LN_NF";"B1";306;NA;NA;NA;86;60.6;690.4047976;1433.13;37.2;35.55;419.79;1;0;0;3;0;NA;19;NA;8.33
6;7;"BRISONr_7";2017;"HAN";1;"LN_NF";"B1";306;NA;NA;NA;83;58.79;638.5307346;1264.92;36.78;34.75;449.78;7.5;0;0;5;3;NA;15;NA;8.36
6;6;"BRISONr_8";2017;"HAN";1;"LN_NF";"B1";306;NA;NA;NA;78;51.01;1114.992504;2271.51;39.08;34.6;704.65;0;0;0;1;1;NA;8;NA;8.51
20;7;"BRISONr_9";2017;"HAN";1;"LN_NF";"B1";306;NA;NA;NA;88;48.22;534.4827586;1207.05;39.3;37.05;464.77;1;0;0;3;0;NA;21;NA;8.76
6;9;"BRISONr_10";2017;"HAN";1;"LN_NF";"B1";306;NA;NA;NA;81;59.37;816.6416792;1692.2;38.8;36.3;464.77;0;0;0;5;1;NA;13;NA;8.26
17;4;"BRISONr_11";2017;"HAN";1;"LN_NF";"B1";306;NA;NA;NA;80;62.33;1034.032984;2086.51;35.1;32.53;584.71;1;0;0;1;1;NA;19;NA;8.24
18;7;"BRISONr_12";2017;"HAN";1;"LN_NF";"B1";306;NA;NA;NA;90;55.24;672.8635682;1374.81;44.58;44.13;359.82;1;0;1;5;3;NA;20;NA;8.3
11;7;"BRISONr_13";2017;"HAN";1;"LN_NF";"B1";306;NA;NA;NA;77;50.4;716.3418291;1402.4;38.78;39.28;464.77;3;0;1;7.5;1;NA;10;NA;6.71
10;5;"BRISONr_14";2017;"HAN";1;"LN_NF";"B1";306;NA;NA;NA;76;56.59;692.3538231;1474.21;39.98;36.45;449.78;0;0;0;3;1;NA;8;NA;10.17
15;9;"BRISONr_15";2017;"HAN";1;"LN_NF";"B1";306;NA;NA;NA;84;53.62;576.011994;1202.85;37.33;36.45;359.82;0;0;0;10;1;NA;14;NA;7.88
