"BRISONr";"Treatment";"Block";"Row";"Column";"Year";"Location";"Subtrial";"Sowing_date";"Emergence_date";"BBCH59";"BBCH87";"Plantheight";"Seedyield";"Seedyield_bio";"Biomass_bio";"TKW_plot";"TKW_bio";"Spike_number";"Stripe_rust";"Powdery_mildew";"Leaf_rust";"Septoria";"DTR";"Fusarium";"Falling_number";"Crude_protein";"Sedimentation"
"BRISONr_102";"HN_NF";"B1";4;19;2018;"HAN";1;299;NA;148;183;71.5;74.47;1238.08;2272.86;46.35;43.69;735;0;0;0.5;2.75;NA;NA;NA;12.3;45
"BRISONr_102";"HN_NF";"B2";19;3;2018;"HAN";1;299;NA;148;NA;67.5;81.42;747.53;1354.12;47.59;43.85;420;0;0;0.75;1;0.75;NA;NA;12.28;43
"BRISONr_102";"HN_WF";"B1";1;8;2018;"HAN";1;299;NA;147;183;68;59.14;616.19;1173.91;40.05;37.4;405;0;0;0.25;2.75;0;NA;NA;12.09;42
"BRISONr_102";"HN_WF";"B2";25;17;2018;"HAN";1;299;NA;148;NA;73;82.96;844.23;1552.62;44.67;42.05;525;0;0;0;0;0.25;NA;NA;11.51;42
"BRISONr_102";"LN_NF";"B1";1;5;2018;"HAN";1;299;NA;147;183;69;40.15;424.74;948.28;34.68;32.08;510;5;0;3;3;5;NA;NA;10.7;31
"BRISONr_102";"LN_NF";"B2";18;NA;2018;"HAN";1;299;NA;148;NA;65.5;50.09;569.27;1203.45;41.03;41.77;390;5;0;3;4;0;NA;NA;8.56;20
"BRISONr_102";"LN_WF";"B1";4;12;2018;"HAN";1;299;NA;148;185;70.5;56.41;1019.79;1356.22;41.99;42.91;495;2;0;2;5;0;NA;NA;8.17;20
"BRISONr_102";"LN_WF";"B2";15;7;2018;"HAN";1;299;NA;147;NA;67;57.79;NA;1195.8;41.38;NA;435;1.75;0;5;1.75;0;NA;NA;8.51;21
"BRISONr_104";"HN_NF";"B1";6;18;2018;"HAN";1;299;NA;148;186;73;79.74;880.96;1646.33;40.56;36.89;585;0;0;0.75;5;0;NA;NA;11.68;32
"BRISONr_104";"HN_NF";"B2";16;5;2018;"HAN";1;299;NA;148;NA;69;78.78;964.77;1867.62;40.71;36.6;585;0;0;1;0.5;0;NA;NA;11.72;30
"BRISONr_104";"HN_WF";"B1";13;8;2018;"HAN";1;299;NA;148;188;69;74.7;817.54;1497;41.97;36.26;345;0;0;0;0.25;0;NA;NA;12.16;32
"BRISONr_104";"HN_WF";"B2";24;20;2018;"HAN";1;299;NA;149;NA;69.25;65.79;759.22;1444.08;36.86;33.16;480;0;0;0;0.25;0.25;NA;NA;12.06;32
"BRISONr_104";"LN_NF";"B1";6;2;2018;"HAN";1;299;NA;150;183;71;58.44;558.62;1193.1;33.96;30.19;435;40;0;0.75;35;0;NA;NA;9.6;22
"BRISONr_104";"LN_NF";"B2";18;13;2018;"HAN";1;299;NA;147;NA;66.25;54.93;NA;1178.41;38;NA;450;10;0;1.75;7.5;0;NA;NA;7.78;15
"BRISONr_104";"LN_WF";"B1";5;12;2018;"HAN";1;299;NA;148;183;68.5;56.9;639.43;1281.86;39.23;34.34;420;30;0;2;25;0;NA;NA;8.16;17
"BRISONr_104";"LN_WF";"B2";22;8;2018;"HAN";1;299;NA;147;NA;65.5;58.91;711.84;1538.53;35.64;33.09;570;15;0;0.5;NA;0;NA;NA;8.31;18
"BRISONr_110";"HN_NF";"B1";7;19;2018;"HAN";1;299;NA;150;187;71;70.46;603.6;1241.08;42.67;37.8;405;0;0;0.25;4;0;NA;NA;12.59;38
"BRISONr_110";"HN_NF";"B2";25;4;2018;"HAN";1;299;NA;150;NA;73;74.91;673.46;1357.57;41.3;39.54;390;0;0;4;2;0;NA;NA;12.4;37
"BRISONr_110";"HN_WF";"B1";9;9;2018;"HAN";1;299;NA;150;188;74;77.4;805.1;1584.11;42.29;39.46;480;0;0;0.5;0.25;0;NA;NA;11.97;36
"BRISONr_110";"HN_WF";"B2";14;20;2018;"HAN";1;299;NA;149;NA;69.25;69.89;764.02;1531.18;40.92;37.86;540;0;0;0;0.5;0.25;NA;NA;12.75;37
"BRISONr_110";"LN_NF";"B1";2;3;2018;"HAN";1;299;NA;148;178;69;33.35;317.39;831.78;28.85;23.71;495;5;0;20;50;0;NA;NA;12.14;31
"BRISONr_110";"LN_NF";"B2";25;15;2018;"HAN";1;299;NA;150;NA;66;51.66;NA;1422.04;40.91;NA;495;0;0;0.75;4;0;NA;NA;8.79;20
"BRISONr_110";"LN_WF";"B1";12;13;2018;"HAN";1;299;NA;149;183;70;53.65;596.85;1299.7;39.74;34.86;465;0.5;0;5;7.5;0;NA;NA;8.26;19
"BRISONr_110";"LN_WF";"B2";16;7;2018;"HAN";1;299;NA;150;NA;64.75;52.15;401.95;936.28;38.44;33.3;390;1;0;1.25;2.75;0;NA;NA;8.66;18
"BRISONr_114";"HN_NF";"B1";7;17;2018;"HAN";1;299;NA;149;186;72;75.73;898.2;1731.18;42.93;39.86;615;0;0;0.25;5;0;NA;NA;11.13;25
"BRISONr_114";"HN_NF";"B2";25;5;2018;"HAN";1;299;NA;150;NA;72.5;71.7;684.56;1388.91;40.24;38.31;465;1.5;0;5;0.5;0;NA;NA;11.49;26
"BRISONr_114";"HN_WF";"B1";1;9;2018;"HAN";1;299;NA;147;183;68;58.71;527.89;983.51;39.68;36.64;360;0;0;0.75;0.75;0;NA;NA;12.25;29
"BRISONr_114";"HN_WF";"B2";26;19;2018;"HAN";1;299;NA;150;NA;70.25;67.88;674.36;1907.5;40.68;38.91;660;0;0;0;0;0;NA;NA;12.43;30
"BRISONr_114";"LN_NF";"B1";13;4;2018;"HAN";1;299;NA;149;183;64.5;40.78;403.3;1067.92;31.5;27.37;585;0;0;40;12.5;7.5;NA;NA;10.83;21
"BRISONr_114";"LN_NF";"B2";16;15;2018;"HAN";1;299;NA;149;NA;61;50.18;730.73;1572.86;38.11;40.02;510;0;0;5.25;12.5;0;NA;NA;8.46;12
"BRISONr_114";"LN_WF";"B1";9;15;2018;"HAN";1;299;NA;149;183;64.5;54.5;558.02;1162.22;39.5;35.62;405;0;0;3;15;0;NA;NA;8.64;14
"BRISONr_114";"LN_WF";"B2";16;8;2018;"HAN";1;299;NA;149;NA;61.75;47.64;537.03;1191.75;36.36;33.51;405;0;0;12.5;NA;0;NA;NA;9.05;14
"BRISONr_118";"HN_NF";"B1";13;18;2018;"HAN";1;299;NA;148;185;70.5;74.38;962.82;1775.56;45.67;45.19;660;0;0;0.5;0.5;0;NA;NA;11.71;34
"BRISONr_118";"HN_NF";"B2";20;4;2018;"HAN";1;299;NA;148;NA;69.75;77.58;746.18;1412.14;44.99;43.05;405;0;0;0.5;2;0.25;NA;NA;11.66;32
"BRISONr_118";"HN_WF";"B1";9;8;2018;"HAN";1;299;NA;150;187;73;81.78;848.73;1585.16;45.05;40.93;465;0;0;0.25;0;0;NA;NA;11.64;32
"BRISONr_118";"HN_WF";"B2";16;17;2018;"HAN";1;299;NA;150;NA;68.5;80.21;646.18;1146.33;43.86;42.72;420;0;0;0;0;0.5;NA;NA;11.64;32
"BRISONr_118";"LN_NF";"B1";5;3;2018;"HAN";1;299;NA;146;183;73.5;48.58;589.81;1325.79;36.45;34.24;675;0;0;30;7.5;6.5;NA;NA;9.98;21
"BRISONr_118";"LN_NF";"B2";20;14;2018;"HAN";1;299;NA;148;NA;69;49.59;NA;1344.83;40.34;NA;525;0.25;0;4;2.75;0;NA;NA;8.81;17
"BRISONr_118";"LN_WF";"B1";3;15;2018;"HAN";1;299;NA;148;183;68.5;59.65;615.59;1244.83;41.64;41.39;420;0;0;5.5;5;0;NA;NA;8.39;16
"BRISONr_118";"LN_WF";"B2";17;8;2018;"HAN";1;299;NA;148;NA;71.25;58;538.23;1114.99;39.94;35.94;390;0.25;0;0.5;7.5;0.5;NA;NA;8.77;17
"BRISONr_121";"HN_NF";"B1";4;20;2018;"HAN";1;299;NA;147;186;66;66.65;709.9;1263.87;43.26;39.29;480;0.25;0;0;0.5;0;NA;NA;12.61;41
"BRISONr_121";"HN_NF";"B2";14;5;2018;"HAN";1;299;NA;147;NA;66.5;70.25;617.54;1105.4;42.17;39.91;390;0;0;0;0.25;0;NA;NA;12.4;38
"BRISONr_121";"HN_WF";"B1";10;9;2018;"HAN";1;299;NA;147;183;73.5;79.24;NA;1283.51;45.44;NA;390;0;0;0;0.5;0;NA;NA;12.9;41
"BRISONr_121";"HN_WF";"B2";22;20;2018;"HAN";1;299;NA;147;NA;64.75;64.14;763.87;1370.16;38.74;38.77;450;0;0;0;0;0;NA;NA;12.62;37
"BRISONr_121";"LN_NF";"B1";4;5;2018;"HAN";1;299;NA;148;183;71.5;55.89;617.69;1268.82;36;35.76;450;0.75;0;1;7.5;2;NA;NA;10.18;25
"BRISONr_121";"LN_NF";"B2";26;13;2018;"HAN";1;299;NA;147;NA;66.75;53.27;NA;816.34;39.84;NA;435;2;0.5;4;5;0.5;NA;NA;8.83;20
"BRISONr_121";"LN_WF";"B1";6;13;2018;"HAN";1;299;NA;147;183;70;60.7;701.95;1468.22;38.56;37.79;525;0;0;0.5;5;0;NA;NA;8.46;20
"BRISONr_121";"LN_WF";"B2";22;7;2018;"HAN";1;299;NA;147;NA;71;61.01;651.87;1315.89;41.11;37.91;465;0.5;0;0.5;2.5;0.25;NA;NA;8.65;19
"BRISONr_124";"HN_NF";"B1";5;20;2018;"HAN";1;299;NA;149;183;66;68.33;529.84;1017.84;41.62;36.58;375;0;0;0.25;0.5;0;NA;NA;12.73;34
"BRISONr_124";"HN_NF";"B2";26;5;2018;"HAN";1;299;NA;150;NA;72.25;75.07;898.95;1853.67;38.44;35.63;645;0;0;5;1.75;0;NA;NA;12.47;33
"BRISONr_124";"HN_WF";"B1";3;8;2018;"HAN";1;299;NA;147;183;61;49.43;358.32;816.79;33.94;20.84;390;0;0;0.25;0;0;NA;NA;12.89;33
"BRISONr_124";"HN_WF";"B2";16;20;2018;"HAN";1;299;NA;146;NA;63.75;61.1;663.57;1255.32;38.11;37.07;390;0;0;0;0.25;0;NA;NA;12.45;33
"BRISONr_124";"LN_NF";"B1";3;5;2018;"HAN";1;299;NA;150;183;65;41.51;419.04;961.47;29.96;28.7;390;0;0;17.5;15;5;NA;NA;10.56;24
"BRISONr_124";"LN_NF";"B2";23;15;2018;"HAN";1;299;NA;150;NA;63.25;47.57;NA;1519.04;36.72;NA;495;3;0;7.5;4;0;NA;NA;8.56;19
"BRISONr_124";"LN_WF";"B1";12;14;2018;"HAN";1;299;NA;147;183;64;51.41;559.07;1146.33;37.58;38.25;420;0;0;5;10;0;NA;NA;8.1;17
"BRISONr_124";"LN_WF";"B2";15;9;2018;"HAN";1;299;NA;148;NA;61.5;45.3;512.74;1123.09;34.92;31.96;405;0;0;25;NA;0;NA;NA;8.65;18
"BRISONr_126";"HN_NF";"B1";13;20;2018;"HAN";1;299;NA;147;185;69;71.12;787.41;1533.28;39.6;38.17;495;0;0;0.5;0.75;0.5;NA;NA;12.42;28
"BRISONr_126";"HN_NF";"B2";23;3;2018;"HAN";1;299;NA;147;NA;64;80.66;798.2;1414.09;42.36;41.56;480;0;0;0.5;4;0.25;NA;NA;12.46;33
"BRISONr_126";"HN_WF";"B1";13;10;2018;"HAN";1;299;NA;146;188;67;74.57;NA;1319.49;42.21;NA;390;0;0;0;0.5;0;NA;NA;11.81;27
"BRISONr_126";"HN_WF";"B2";25;18;2018;"HAN";1;299;NA;147;NA;70.75;73.97;828.49;1574.36;40.74;35.54;495;0;0;0;0;0.25;NA;NA;12.31;28
"BRISONr_126";"LN_NF";"B1";9;3;2018;"HAN";1;299;NA;147;183;72;46.12;489.21;1222.64;28.4;26.77;450;7.5;0;60;30;0;NA;NA;10.99;22
"BRISONr_126";"LN_NF";"B2";26;15;2018;"HAN";1;299;NA;147;NA;66.5;45.48;NA;1822.79;33.03;NA;750;0;0;20;7.5;0;NA;NA;10.36;20
"BRISONr_126";"LN_WF";"B1";1;13;2018;"HAN";1;299;NA;147;183;68.5;44.1;405.4;969.42;35.05;27.29;480;0;0;35;10;0;NA;NA;8.32;14
"BRISONr_126";"LN_WF";"B2";26;7;2018;"HAN";1;299;NA;147;NA;70.75;54.69;NA;1488.46;32.25;NA;555;0;0;35;0.5;0;NA;NA;10.67;20
"BRISONr_131";"HN_NF";"B1";9;18;2018;"HAN";1;299;NA;148;187;75.5;71.23;744.98;1432.68;47.35;44.49;495;0;0;0.75;2.75;0;NA;NA;12.09;34
"BRISONr_131";"HN_NF";"B2";18;2;2018;"HAN";1;299;NA;149;NA;73.25;76.92;741.23;1536.43;47.57;43.99;465;0;0;5;2;0.5;NA;NA;10.92;30
"BRISONr_131";"HN_WF";"B1";4;10;2018;"HAN";1;299;NA;148;183;74.5;71.83;600.6;1181.11;47.15;40.42;450;0;0;0;0;0;NA;NA;11.61;34
"BRISONr_131";"HN_WF";"B2";24;19;2018;"HAN";1;299;NA;151;NA;76.5;65.2;701.95;1028.19;43.67;41.62;345;0;0;0;0;0.5;NA;NA;12.4;36
"BRISONr_131";"LN_NF";"B1";8;4;2018;"HAN";1;299;NA;148;183;76;45.04;442.13;1129.69;38.61;34.45;420;35;0;15;15;0.25;NA;NA;11.31;25
"BRISONr_131";"LN_NF";"B2";17;14;2018;"HAN";1;299;NA;149;NA;69.75;44.76;NA;1093.85;40.89;NA;390;0.25;0;5;12.5;0;NA;NA;8.63;14
