"Row";"Column";"BRISONr";"Year";"Location";"Subtrial";"Treatment";"Block";"Sowing_date";"Emergence_date";"BBCH59";"BBCH87";"Plantheight";"Seedyield";"Seedyield_bio";"Biomass_bio";"TKW_plot";"TKW_bio";"Spike_number";"Stripe_rust";"Powdery_mildew";"Leaf_rust";"Septoria";"DTR";"Fusarium";"Sedimentation";"Falling_number";"Crude_protein"
5;2;"BRISONr_1";2016;"KAL";1;"HN_NF";"B1";301;321;155;205;82.33;88.12;NA;NA;45.41;NA;464;0;NA;NA;NA;NA;NA;34;355;11.9
31;29;"BRISONr_1";2016;"KAL";1;"HN_NF";"B2";301;319;155;205;80.66;82.67;919.52;1842.72;42.18;NA;616;1;NA;NA;NA;NA;NA;36;351;12.28
22;8;"BRISONr_1";2016;"KAL";1;"HN_WF";"B1";302;321;155;207;81;108.53;NA;NA;51.62;NA;552;0;NA;NA;NA;NA;NA;35;351;12.56
16;54;"BRISONr_1";2016;"KAL";1;"HN_WF";"B2";300;323;156;205;87.33;84.45;867.44;1525.28;54.74;NA;312;1;NA;NA;NA;NA;NA;35;270;12.55
25;14;"BRISONr_1";2016;"KAL";1;"LN_NF";"B1";302;319;154;199;82.33;74.42;549.44;1240.64;54.12;NA;480;1;NA;NA;NA;NA;NA;23;364;10.39
15;29;"BRISONr_1";2016;"KAL";1;"LN_NF";"B2";301;319;154;199;81;62.18;NA;NA;55.01;NA;304;2;NA;NA;NA;NA;NA;23;309;9.86
4;5;"BRISONr_10";2016;"KAL";1;"HN_NF";"B1";301;322;154;204;86.66;79.15;NA;NA;NA;NA;424;0;NA;NA;NA;NA;NA;NA;NA;NA
26;31;"BRISONr_10";2016;"KAL";1;"HN_NF";"B2";301;320;154;204;89.33;80;568.48;1167.68;39.08;NA;464;1;NA;NA;NA;NA;NA;36;306;12.45
15;10;"BRISONr_10";2016;"KAL";1;"HN_WF";"B1";302;320;154;204;89.66;101.83;NA;NA;42.84;NA;336;1;NA;NA;NA;NA;NA;37;292;12.48
12;45;"BRISONr_10";2016;"KAL";1;"HN_WF";"B2";300;322;155;205;90.66;96;1044.08;1914.96;40.86;NA;536;1;NA;NA;NA;NA;NA;36;274;11.77
29;14;"BRISONr_10";2016;"KAL";1;"LN_NF";"B1";302;321;155;199;89.33;78.06;735.12;1507.92;46.62;NA;392;1;NA;NA;NA;NA;NA;22;369;9.41
