Row;Column;BRISONr;Year;Location;Treatment;Block;Sowing_date;Emergence_date;BBCH59;BBCH87;Plantheight;Seedyield;Seedyield_bio;Biomass_bio;TKW_plot;Spike_number;Crude_protein;Sedimentation
1;5;BRISONr_172;2018;KAD;LN_WF;B1;297;NA;136;175;104;70.07;868.33;1773.33;40.48;349.66;12.7;29.7
1;6;BRISONr_33;2018;KAD;LN_WF;B1;297;NA;147;192;65.5;82.73;1082.5;2288.92;44.7;394.87;12.3;21.3
1;7;BRISONr_94;2018;KAD;LN_WF;B1;297;NA;146;190;87.5;79.47;880;1807.75;43.5;865.41;13.2;40.7
1;8;BRISONr_92;2018;KAD;LN_WF;B1;297;NA;145;188;85.5;86.14;947.17;2078.67;47.12;644.17;12;20.3
1;9;BRISONr_149;2018;KAD;LN_WF;B1;297;NA;147;187;87.5;80.68;742.5;1881.5;48.46;543.31;12.2;24.7
1;10;BRISONr_106;2018;KAD;LN_WF;B1;297;NA;146;190;85;84.86;751.67;1640.83;44.44;602.12;12.3;32.6
1;11;BRISONr_25;2018;KAD;LN_WF;B1;297;NA;144;189;83;70.23;920.83;1968.17;47.28;305.05;11.6;28.7
1;12;BRISONr_78;2018;KAD;LN_WF;B1;297;NA;144;185;89;83.62;968.33;2018.42;43.58;438.99;12.2;26.4
1;13;BRISONr_126;2018;KAD;LN_WF;B1;297;NA;144;189;86.5;73.01;560.83;1145.5;44.6;564.11;12;25.8
1;14;BRISONr_206;2018;KAD;LN_WF;B1;297;NA;135;178;92;64.2;770.92;1514.33;46.16;319.23;11.9;26.8
1;15;BRISONr_35;2018;KAD;LN_WF;B1;297;NA;146;188;78.5;75.38;748.92;1583.08;46.54;402.63;12.3;20.8
1;16;BRISONr_102;2018;KAD;LN_WF;B1;297;NA;146;190;87;75.02;809;1732.42;51.88;401.81;11.5;20.5
1;17;BRISONr_147;2018;KAD;LN_WF;B1;297;NA;144;189;100;77.88;652;1343.17;46.16;537.48;12.1;22.1
1;18;BRISONr_103;2018;KAD;LN_WF;B1;297;NA;146;188;88;76.64;558.83;1176.42;50.06;1085.76;12.1;27.6
1;19;BRISONr_58;2018;KAD;LN_WF;B1;297;NA;146;186;86;75.13;613.42;1277.17;43.42;459.27;12.7;30.3
1;20;BRISONr_47;2018;KAD;LN_WF;B1;297;NA;145;187;82;71.96;613.58;1347.25;47.86;508.22;12.6;30.5
1;21;BRISONr_144;2018;KAD;LN_WF;B1;297;NA;147;186;96;70.45;1190.42;2511.75;39.5;276.16;12.7;24.3
