Row;Column;BRISONr;Year;Location;Treatment;Block;Sowing_date;Emergence_date;BBCH59;BBCH87;Plantheight;Seedyield;Seedyield_bio;Biomass_bio;TKW_plot;HI;Spike_number;Crude_protein;Sedimentation;SPAD;Straw_N;Flag_Leaf_Weight;Flag_Leaf_N;Flag_Leaf_C
1;1;BRISONr_208;2020;KAD;LLN_WF;B1;298;NA;215;272;75.50;62.22;NA;NA;23.37;0.57;629;8.60;6.80;41.15;0.44;2.02;0.78;41.88
1;2;BRISONr_195;2020;KAD;LLN_WF;B1;298;NA;215;269;65.00;44.81;NA;NA;22.7;0.51;542;9.40;14.40;37.65;0.36;2.02;0.78;41.88
1;3;BRISONr_50;2020;KAD;LLN_WF;B1;298;NA;224;271;64.50;51.84;NA;NA;21.83;0.55;538;9.00;15.40;41.60;0.29;2.02;0.78;41.88
1;4;BRISONr_196;2020;KAD;LLN_WF;B1;298;NA;222;267;78.00;39.78;NA;NA;19.13;0.61;650;8.80;12.90;39.85;0.28;1.90;0.83;40.91
1;5;BRISONr_202;2020;KAD;LLN_WF;B1;298;NA;222;269;72.50;61.84;NA;NA;23.97;0.54;604;9.70;10.90;49.55;0.30;2.03;0.69;42.66
1;6;BRISONr_116;2020;KAD;LLN_WF;B1;298;NA;223;269;71.00;58.54;NA;NA;22.17;0.59;592;9.30;7.60;49.05;0.35;1.90;0.83;40.91
1;7;BRISONr_152;2020;KAD;LLN_WF;B1;298;NA;211;265;67.50;71.89;NA;NA;21.78;0.54;563;9.70;16.20;45.75;0.34;2.03;0.69;42.66
1;8;BRISONr_147;2020;KAD;LLN_WF;B1;298;NA;222;270;72.00;64.86;NA;NA;25.63;0.58;600;9.10;4.90;49.40;0.33;1.90;0.83;40.91
1;9;BRISONr_167;2020;KAD;LLN_WF;B1;298;NA;223;271;88.00;54.27;NA;NA;22.73;0.44;733;10.40;23.10;55.20;0.45;2.03;0.69;42.66
1;10;BRISONr_108;2020;KAD;LLN_WF;B1;298;NA;221;273;78.50;59.46;NA;NA;23.8;0.60;654;8.90;13.80;43.90;0.30;2.20;1.17;38.72
1;11;BRISONr_42;2020;KAD;LLN_WF;B1;298;NA;224;268;64.50;63.68;NA;NA;22.42;0.52;538;8.60;5.90;47.25;0.41;1.83;0.84;41.00
1;12;BRISONr_172;2020;KAD;LLN_WF;B1;298;NA;222;269;79.50;44.49;NA;NA;19.07;0.62;663;9.40;10.40;38.80;0.32;2.11;1.44;41.94
1;13;BRISONr_166;2020;KAD;LLN_WF;B1;298;NA;220;272;81.00;64.22;NA;NA;23.85;0.50;675;9.50;15.30;44.75;0.31;2.11;1.44;41.94
1;14;BRISONr_213;2020;KAD;LLN_WF;B1;298;NA;216;268;85.50;73.78;NA;NA;24.85;0.59;713;9.30;9.70;41.05;0.38;2.20;1.17;38.72
1;15;BRISONr_203;2020;KAD;LLN_WF;B1;298;NA;222;269;72.00;60.97;NA;NA;23.17;0.63;600;9.40;10.20;54.85;0.39;1.83;0.84;41.00
1;16;BRISONr_173;2020;KAD;LLN_WF;B1;298;NA;220;268;88.50;53.41;NA;NA;22.4;0.47;738;10.00;16.50;43.45;0.30;1.94;1.72;42.12
2;1;BRISONr_34;2020;KAD;LLN_WF;B1;298;NA;220;272;74.50;61.51;NA;NA;20.82;0.63;621;9.40;15.10;43.95;0.33;2.21;1.51;40.48
2;2;BRISONr_15;2020;KAD;LLN_WF;B1;298;NA;220;269;72.50;56.38;NA;NA;24.9;0.57;604;8.60;7.30;37.65;0.37;2.00;1.85;42.37
2;3;BRISONr_58;2020;KAD;LLN_WF;B1;298;NA;222;272;71.00;56.32;NA;NA;20.29;0.54;592;9.20;10.10;44.90;0.36;2.00;1.85;42.37
2;4;BRISONr_20;2020;KAD;LLN_WF;B1;298;NA;223;269;62.50;52.81;NA;NA;22.09;0.64;521;8.90;14.50;49.60;0.35;2.00;1.85;42.37
2;5;BRISONr_155;2020;KAD;LLN_WF;B1;298;NA;219;271;71.00;52.76;NA;NA;20.06;0.54;592;9.10;14.70;43.65;0.38;2.11;1.62;40.50
2;6;BRISONr_55;2020;KAD;LLN_WF;B1;298;NA;222;264;63.00;59.24;NA;NA;22.63;0.58;525;9.30;17.70;44.95;0.37;2.11;1.62;40.50
2;7;BRISONr_93;2020;KAD;LLN_WF;B1;298;NA;222;265;79.00;65.46;NA;NA;22.93;0.56;658;9.90;15.90;49.20;0.41;2.16;3.37;45.01
2;8;BRISONr_141;2020;KAD;LLN_WF;B1;298;NA;223;270;87.00;60.32;NA;NA;20.57;0.62;725;9.40;12.40;46.90;0.34;2.02;3.97;45.70
2;9;BRISONr_119;2020;KAD;LLN_WF;B1;298;NA;221;270;87.00;59.89;NA;NA;21.6;0.56;725;10.00;17.10;52.05;0.37;2.25;3.84;44.07
2;10;BRISONr_130;2020;KAD;LLN_WF;B1;298;NA;212;272;69.00;50.65;NA;NA;24.71;0.54;575;9.50;11.80;42.20;0.38;1.96;2.52;42.52
2;11;BRISONr_61;2020;KAD;LLN_WF;B1;298;NA;219;272;66.50;61.84;NA;NA;20.41;0.53;554;9.40;13.70;46.85;0.36;1.96;2.52;42.52
2;12;BRISONr_6;2020;KAD;LLN_WF;B1;298;NA;219;270;61.00;57.73;NA;NA;21.13;0.64;508;9.10;13.90;44.80;0.39;2.18;2.52;42.52
2;13;BRISONr_28;2020;KAD;LLN_WF;B1;298;NA;224;271;60.50;72.92;NA;NA;22.21;0.57;504;9.20;18.70;41.60;0.43;2.03;3.24;46.09
2;14;BRISONr_182;2020;KAD;LLN_WF;B1;298;NA;223;271;76.00;68.70;NA;NA;23.16;0.63;633;9.20;11.50;47.30;0.42;1.82;1.19;40.55
2;15;BRISONr_59;2020;KAD;LLN_WF;B1;298;NA;221;266;71.00;66.32;NA;NA;24.78;0.51;592;9.30;13.30;47.30;0.46;2.15;0.90;42.64
2;16;BRISONr_136;2020;KAD;LLN_WF;B1;298;NA;222;267;77.00;65.19;NA;NA;22.44;0.57;642;8.80;9.20;44.75;0.35;2.19;1.45;42.53
2;17;BRISONr_127;2020;KAD;LLN_WF;B1;298;NA;222;267;70.50;57.89;NA;NA;23.45;0.50;588;10.10;19.80;43.85;0.34;2.15;0.90;42.64
2;18;BRISONr_96;2020;KAD;LLN_WF;B1;298;NA;220;266;72.00;59.73;NA;NA;23.3;0.58;600;10.90;18.60;47.35;0.38;2.19;1.45;42.53
3;1;BRISONr_8;2020;KAD;LLN_WF;B1;298;NA;223;266;55.50;62.22;NA;NA;21.01;0.57;463;9.00;15.30;54.45;0.41;2.15;0.90;42.64
3;2;BRISONr_177;2020;KAD;LLN_WF;B1;298;NA;221;271;65.00;56.00;NA;NA;22.4;0.63;542;8.90;10.30;46.10;0.33;2.19;1.45;42.53
3;3;BRISONr_29;2020;KAD;LLN_WF;B1;298;NA;222;267;64.50;56.22;NA;NA;20.92;0.61;538;8.80;5.80;40.35;0.33;1.80;1.28;38.89
3;4;BRISONr_90;2020;KAD;LLN_WF;B1;298;NA;222;269;65.50;54.65;NA;NA;23.28;0.64;546;9.10;12.90;38.80;0.40;2.23;1.91;40.57
3;5;BRISONr_181;2020;KAD;LLN_WF;B1;298;NA;219;270;66.50;54.05;NA;NA;20.06;0.60;554;9.30;21.80;33.25;0.29;2.17;1.45;42.56
3;6;BRISONr_92;2020;KAD;LLN_WF;B1;298;NA;211;266;78.00;62.65;NA;NA;23.89;0.61;650;9.10;21.10;41.90;0.34;2.13;1.49;41.86
3;7;BRISONr_190;2020;KAD;LLN_WF;B1;298;NA;221;270;81.50;59.35;NA;NA;19.03;0.57;679;10.20;16.90;46.00;0.37;1.89;3.06;46.18
3;8;BRISONr_201;2020;KAD;LLN_WF;B1;298;NA;225;270;68.00;61.46;NA;NA;22.13;0.61;567;9.30;16.30;48.35;0.33;1.89;3.06;46.18
3;9;BRISONr_134;2020;KAD;LLN_WF;B1;298;NA;221;267;75.00;62.27;NA;NA;22.97;0.59;625;9.70;10.40;53.35;0.32;2.17;1.45;42.56
3;10;BRISONr_5;2020;KAD;LLN_WF;B1;298;NA;219;267;75.00;59.68;NA;NA;23.03;0.55;625;9.00;9.30;51.65;0.35;2.13;1.49;41.86
3;11;BRISONr_188;2020;KAD;LLN_WF;B1;298;NA;213;267;70.50;50.27;NA;NA;21.78;0.52;588;9.50;11.80;45.75;0.42;2.03;1.47;40.04
3;12;BRISONr_48;2020;KAD;LLN_WF;B1;298;NA;211;270;75.00;63.84;NA;NA;24.17;0.63;625;8.60;13.20;48.15;0.39;2.12;0.92;41.11
3;13;BRISONr_171;2020;KAD;LLN_WF;B1;298;NA;219;270;107.00;60.22;NA;NA;24.44;0.48;892;10.10;16.60;43.15;0.46;1.81;2.98;47.34
3;14;BRISONr_221;2020;KAD;LLN_WF;B1;298;NA;222;271;73.50;73.62;NA;NA;24.6;0.52;613;9.60;8.50;50.30;0.35;2.12;0.92;41.11
3;15;BRISONr_35;2020;KAD;LLN_WF;B1;298;NA;217;258;80.50;62.38;NA;NA;22.3;0.62;671;9.10;5.50;47.20;0.32;2.04;0.96;37.57
3;16;BRISONr_45;2020;KAD;LLN_WF;B1;298;NA;222;263;71.50;63.62;NA;NA;22.15;0.62;596;9.40;9.40;46.55;0.37;1.83;1.66;37.98
3;17;BRISONr_41;2020;KAD;LLN_WF;B1;298;NA;216;267;68.00;71.03;NA;NA;21.57;0.62;567;9.50;17.70;47.65;0.43;1.83;0.84;41.26
3;18;BRISONr_204;2020;KAD;LLN_WF;B1;298;NA;221;265;76.00;70.05;NA;NA;25.27;0.68;633;8.70;14.00;43.00;0.39;1.83;0.84;41.26
3;19;BRISONr_51;2020;KAD;LLN_WF;B1;298;NA;211;266;60.00;68.76;NA;NA;23.83;0.58;500;9.20;9.00;48.60;0.31;1.80;4.13;46.88
4;1;BRISONr_111;2020;KAD;LLN_WF;B1;298;NA;222;267;68.00;61.51;NA;NA;21.32;0.63;567;8.40;15.30;48.90;0.31;1.80;4.13;46.88
4;2;BRISONr_192;2020;KAD;LLN_WF;B1;298;NA;221;266;67.00;43.89;NA;NA;24.87;0.52;558;8.80;7.90;35.00;0.31;2.28;5.52;62.82
