"Row";"Column";"BRISONr";"Year";"Location";"Subtrial";"Treatment";"Block";"Sowing_date";"Emergence_date";"BBCH59";"BBCH87";"Plantheight";"Seedyield";"Seedyield_bio";"Biomass_bio";"TKW_plot";"TKW_bio";"Spike_number";"Stripe_rust";"Powdery_mildew";"Leaf_rust";"Septoria";"DTR";"Fusarium";"Sedimentation";"Falling_number";"Crude_protein"
1;1;"BRISONr_190";2015;"KIE";1;"LN_NF";"B1";296;308;NA;NA;NA;35.8757862558;498.4;1440.16;42.0282;41.7;496;NA;NA;NA;NA;NA;NA;22;163;12.94
10;1;"BRISONr_156";2015;"KIE";1;"HN_NF";"B2";296;308;168;NA;NA;64.0998045814;702.88;1544.16;37.5734;37.33;576;NA;NA;NA;NA;NA;NA;59;386;14.72
11;1;"BRISONr_165";2015;"KIE";1;"HN_NF";"B2";296;308;164;NA;NA;77.5055633574;734.72;1497.76;40.9704;40.22;432;NA;NA;NA;NA;NA;NA;36;375;11.93
12;1;"BRISONr_142";2015;"KIE";1;"HN_NF";"B2";296;308;163;NA;NA;82.4969771016;804.48;1741.6;44.6512;43.72;544;NA;NA;NA;NA;NA;NA;44;262;13.45
13;1;"BRISONr_171";2015;"KIE";1;"HN_WF";"B3";296;308;NA;NA;102;78.7620824394;827.84;1784.96;39.4826;39;624;NA;NA;NA;NA;NA;NA;33;126;14.26
14;1;"BRISONr_176";2015;"KIE";1;"HN_WF";"B3";296;308;NA;NA;104;72.4014961836;777.6;1794.24;41.3488;41.4;544;NA;NA;NA;NA;NA;NA;44;264;14.69
15;1;"BRISONr_180";2015;"KIE";1;"HN_WF";"B3";296;308;NA;NA;79;91.309941946;838.4;1533.44;42.613;44.55;560;NA;NA;NA;NA;NA;NA;43;350;13.19
16;1;"BRISONr_202";2015;"KIE";1;"HN_WF";"B3";296;308;NA;NA;80;95.426125202;1177.92;2291.52;45.3994;44.98;608;NA;NA;NA;NA;NA;NA;42;163;11.89
17;1;"BRISONr_210";2015;"KIE";1;"HN_WF";"B3";296;308;NA;NA;82;74.3252702252;825.28;1631.84;47.4548;48.26;592;NA;NA;NA;NA;NA;NA;50;62;14.8
18;1;"BRISONr_188";2015;"KIE";1;"HN_WF";"B3";296;308;NA;NA;82;81.1104732852;788.96;1570.72;42.054;43.37;480;NA;NA;NA;NA;NA;NA;36;369;12.89
