"Row";"Column";"BRISONr";"Year";"Treatment";"Sowing_date";"Emergence_date";"BBCH59";"BBCH87";"Plantheight";"Seedyield";"TKW_plot";"Seedyield_bio";"Biomass_bio";"TKW_bio";"Spike_number";"Stripe_rust";"Powdery_mildew";"DTR";"Septoria";"Fusarium";"Leaf_rust";"Sedimentation";"Falling_number";"Crude_protein";"Subtrial";"Location";"Block"
1;16;"BRISONr_149";2016;"HN_WF";275;288;NA;NA;75;74.7426;40.3168;571.2;1159.84;39.4;448;NA;NA;NA;NA;NA;NA;40;285;12.63;1;"KIE";"B2"
1;17;"BRISONr_151";2016;"HN_WF";275;288;NA;NA;80;71.0102;40.9016;794.88;1541.6;41.72;368;NA;NA;NA;NA;NA;NA;43;311;13.79;1;"KIE";"B2"
1;18;"BRISONr_160";2016;"HN_WF";275;288;NA;NA;78;78.0622;40.592;828;1556.32;41.63;432;NA;NA;NA;NA;NA;NA;46;311;13.19;1;"KIE";"B2"
1;19;"BRISONr_128";2016;"HN_WF";275;288;NA;NA;90;87.7114;43.301;852.32;1635.84;43.43;448;NA;NA;NA;NA;NA;NA;20;265;12.16;1;"KIE";"B2"
1;20;"BRISONr_146";2016;"HN_WF";275;288;NA;NA;89;70.3996;45.2876;683.2;1321.12;47.55;336;NA;NA;NA;NA;NA;NA;45;234;13.61;1;"KIE";"B2"
1;21;"BRISONr_152";2016;"HN_WF";275;288;NA;NA;86;64.3968;37.1434;707.52;1564.8;37.28;480;NA;NA;NA;NA;NA;NA;31;312;13.23;1;"KIE";"B2"
1;22;"BRISONr_167";2016;"HN_WF";275;288;NA;NA;88;68.3872;46.7066;633.44;1436;47.99;368;NA;NA;NA;NA;NA;NA;51;307;14.97;1;"KIE";"B2"
1;24;"BRISONr_38";2016;"HN_WF";275;288;NA;NA;77;70.0556;41.0822;577.92;1060.32;40.68;352;NA;NA;NA;NA;NA;NA;39;317;12.67;1;"KIE";"B2"
1;25;"BRISONr_47";2016;"HN_WF";275;288;NA;NA;74;68.9978;40.592;840.32;1583.68;41.49;592;NA;NA;NA;NA;NA;NA;41;389;12.4;1;"KIE";"B2"
1;26;"BRISONr_46";2016;"HN_WF";275;288;NA;NA;75;71.681;41.8046;828.8;1602.56;40.16;512;NA;NA;NA;NA;NA;NA;36;421;12.57;1;"KIE";"B2"
1;27;"BRISONr_16";2016;"HN_WF";275;288;NA;NA;70;59.3572;45.666;730.56;1294.56;42.98;368;NA;NA;NA;NA;NA;NA;27;274;13.34;1;"KIE";"B2"
1;28;"BRISONr_121";2016;"HN_WF";275;288;NA;NA;82;68.9892;41.8992;751.84;1496.8;38.12;528;NA;NA;NA;NA;NA;NA;44;200;13.22;1;"KIE";"B2"
1;29;"BRISONr_24";2016;"HN_WF";275;288;NA;NA;77;72.584;40.3942;785.6;1375.68;43.05;336;NA;NA;NA;NA;NA;NA;35;335;12.79;1;"KIE";"B2"
1;30;"BRISONr_112";2016;"HN_WF";275;288;NA;NA;81;63.1154;45.5542;584;1218.08;46.98;368;NA;NA;NA;NA;NA;NA;43;264;14.15;1;"KIE";"B2"
