Row;Column;BRISONr;Year;Treatment;Sowing_date;Emergence_date;BBCH59;BBCH87;Plantheight;Seedyield;TKW_plot;Seedyield_bio;Biomass_bio;TKW_bio;Spike_number;Fusarium;Leaf_rust;Stripe_rust;Powdery_mildew;DTR;Septoria;Falling_number;Sedimentation;Crude_protein;Subtrial;Location;Block
1;1;BRISONr_156;2017;HN_NF;NA;274;156;NA;NA;67.5874;36.7392;797.76;1835.84;37.44;544;NA;NA;NA;NA;NA;NA;NA;37;13.83;1;KIE;B1
1;10;BRISONr_71;2017;HN_NF;NA;274;152;NA;NA;78.7244;40.936;744.48;1473.12;36.94;528;NA;NA;NA;NA;NA;NA;NA;35;11.43;1;KIE;B1
1;11;BRISONr_92;2017;HN_NF;NA;274;153;NA;NA;NA;36.4898;741.6;1459.04;35.99;480;NA;NA;NA;NA;NA;NA;NA;26;13.13;1;KIE;B1
1;12;BRISONr_77;2017;HN_NF;NA;274;155;NA;NA;96.1566;39.302;1095.04;2149.6;40;592;NA;NA;NA;NA;NA;NA;NA;44;12.51;1;KIE;B1
1;13;BRISONr_51;2017;HN_NF;NA;274;158;NA;NA;88.7692;44.4018;942.72;1904.64;44.03;496;NA;NA;NA;NA;NA;NA;NA;36;11.05;1;KIE;B1
1;14;BRISONr_78;2017;HN_NF;NA;274;152;NA;NA;72.9882;34.2108;761.92;1658.08;35.59;512;NA;NA;NA;NA;NA;NA;NA;31;12.15;1;KIE;B1
1;15;BRISONr_35;2017;HN_NF;NA;274;154;NA;NA;69.5396;37.8314;811.68;1586.56;39.92;432;NA;NA;NA;NA;NA;NA;NA;49;12.17;1;KIE;B1
1;16;BRISONr_176;2017;HN_NF;NA;274;154;202;NA;60.2774;39.044;1049.92;2466.24;43.63;704;NA;NA;NA;NA;NA;NA;NA;52;13.11;1;KIE;B1
1;17;BRISONr_170;2017;HN_NF;NA;274;150;NA;NA;49.9144;28.0102;605.6;1314.4;25.87;720;NA;NA;NA;NA;NA;NA;NA;51;13.55;1;KIE;B1
1;18;BRISONr_172;2017;HN_NF;NA;274;150;NA;NA;59.8302;31.9834;556.48;1179.68;34.71;416;NA;NA;NA;NA;NA;NA;NA;20;12.59;1;KIE;B1
1;19;BRISONr_188;2017;HN_NF;NA;274;171;NA;NA;68.6796;40.7382;886.56;1846.08;35.93;592;NA;NA;NA;NA;NA;NA;NA;39;12.39;1;KIE;B1
1;2;BRISONr_146;2017;HN_NF;NA;274;150;202;NA;43.387;41.9336;578.08;1200.96;42.21;304;NA;NA;NA;NA;NA;NA;NA;45;11.76;1;KIE;B1
1;20;BRISONr_189;2017;HN_WF;NA;274;149;199;82;83.9962;38.9494;768.16;1539.36;39.31;512;NA;NA;NA;NA;NA;NA;NA;39;11.93;1;KIE;B1
