BRISONr;Treatment;Block;Row;Column;Year;Location;Subtrial;Sowing_date;Emergence_date;BBCH59;BBCH87;Plantheight;Seedyield;Seedyield_bio;Biomass_bio;TKW_plot;TKW_bio;Spike_number;Stripe_rust;Powdery_mildew;Leaf_rust;Septoria;DTR;Fusarium;Falling_number;Crude_protein;Sedimentation
BRISONr_20;HN_NF;B1;16;3;2018;KIE;1;290;NA;NA;198;61;59.05;800.92;1551;37.17;39.05;541.67;0;40;0;0;NA;NA;NA;13.86;46
BRISONr_26;HN_NF;B1;16;4;2018;KIE;1;290;NA;NA;196;72;70.06;787.83;1477.91;46.23;45.02;416.67;0;0;0;5;NA;NA;NA;13.13;46
BRISONr_27;HN_NF;B1;15;2;2018;KIE;1;290;NA;NA;197;76;62.42;797.92;1605.91;37.16;41.28;450;0;90;10;0;NA;NA;NA;13.76;30
BRISONr_31;HN_NF;B1;15;8;2018;KIE;1;290;NA;NA;198;73;82.89;1037.25;1960.83;43.58;46.83;600;0;15;0;20;NA;NA;NA;12.14;28
BRISONr_38;HN_NF;B1;16;5;2018;KIE;1;290;NA;NA;193;79;73.05;841.33;1475.34;40.67;42.11;441.67;0;0;20;0;NA;NA;NA;12.13;49
BRISONr_47;HN_NF;B1;13;13;2018;KIE;1;290;NA;NA;198;68;62.21;848.5;1576.08;40.45;41.71;508.33;0;10;1;0;NA;NA;NA;12.21;52
BRISONr_50;HN_NF;B1;15;6;2018;KIE;1;290;NA;NA;197;78;70.78;818.25;1612.84;40.73;43.87;450;20;10;20;0;NA;NA;NA;12.97;47
BRISONr_54;HN_NF;B1;16;1;2018;KIE;1;290;NA;NA;198;71;74.12;922.67;1705.91;40.45;41.68;516.67;0;100;15;0;NA;NA;NA;11.83;34
BRISONr_56;HN_NF;B1;13;8;2018;KIE;1;290;NA;NA;197;74;73.33;806.08;1461.58;38.85;41.27;433.33;1;20;0;0;NA;NA;NA;11.71;40
BRISONr_59;HN_NF;B1;14;1;2018;KIE;1;290;NA;NA;198;75;70.62;830.75;1618.41;41.69;37.98;491.67;0;90;0;0;NA;NA;NA;12.31;40
BRISONr_67;HN_NF;B1;15;4;2018;KIE;1;290;NA;NA;197;78;74.58;872.17;1618.33;39.83;40.43;475;0;80;0;0;NA;NA;NA;12.27;26
BRISONr_69;HN_NF;B1;15;12;2018;KIE;1;290;NA;NA;196;76;73.57;913.58;1595.25;41.11;45.45;450;0;20;0;0;NA;NA;NA;11.42;20
BRISONr_71;HN_NF;B1;14;11;2018;KIE;1;290;NA;NA;193;70;68.15;720.17;1302;37.43;36.88;450;0;5;10;0;NA;NA;NA;11.85;37
BRISONr_80;HN_NF;B1;15;9;2018;KIE;1;290;NA;NA;198;77;74.77;720.25;1327.5;40.67;40.58;483.33;0;10;0;0;NA;NA;NA;12.19;32
BRISONr_92;HN_NF;B1;14;3;2018;KIE;1;290;NA;NA;193;80;66.94;890.58;1711.58;38.55;41.98;500;10;80;5;0;NA;NA;NA;12.59;24
BRISONr_96;HN_NF;B1;13;2;2018;KIE;1;290;NA;NA;196;78;67.3;675.58;1229.67;43.91;43.62;316.67;0;5;50;0;NA;NA;NA;NA;NA
BRISONr_99;HN_NF;B1;13;10;2018;KIE;1;290;NA;NA;197;79;63.71;755.58;1462.25;47.59;49.75;433.33;1;10;1;0;NA;NA;NA;12.48;43
