BRISONr;Treatment;Block;Row;Column;Year;Location;Subtrial;Sowing_date;Emergence_date;BBCH59;BBCH87;Plantheight;Seedyield;Seedyield_bio;Biomass_bio;TKW_plot;TKW_bio;Spike_number;Stripe_rust;Powdery_mildew;Leaf_rust;Septoria;DTR;Fusarium;Falling_number;Crude_protein;Sedimentation;Subblock
BRISONr_131;HN_NF;B1;9;1;2019;KIE;1;282;291;NA;NA;95;69.38;686.5;1496.42;40.15;39.16;391.67;NA;NA;NA;NA;NA;NA;NA;12.36;29;SB3
BRISONr_135;HN_NF;B1;10;1;2019;KIE;1;282;291;NA;NA;88;67.48;656.92;1429.17;39.12;38.46;383.33;NA;NA;NA;NA;NA;NA;NA;12.53;53;SB3
BRISONr_145;HN_NF;B1;11;1;2019;KIE;1;282;291;NA;NA;93;65.27;524.33;1134.5;33.54;34.09;316.67;NA;NA;NA;NA;NA;NA;NA;13.56;57;SB3
BRISONr_213;HN_NF;B1;12;1;2019;KIE;1;282;291;NA;NA;87;76.15;632.08;1227.16;40.53;41.14;400;NA;NA;NA;NA;NA;NA;NA;11.9;35;SB3
BRISONr_228;HN_NF;B1;9;2;2019;KIE;1;282;291;NA;NA;92;82.08;696;1329.25;43.68;43.58;425;NA;NA;NA;NA;NA;NA;NA;12.44;21;SB15
BRISONr_54;HN_NF;B1;10;2;2019;KIE;1;282;291;NA;NA;88;79.16;900.33;1780.33;34.95;33.76;575;NA;NA;NA;NA;NA;NA;NA;11.8;32;SB15
BRISONr_69;HN_NF;B1;11;2;2019;KIE;1;282;291;NA;NA;91;76.44;672.92;1383.42;35.39;33.07;458.33;NA;NA;NA;NA;NA;NA;NA;12.25;19;SB15
BRISONr_138;HN_NF;B1;12;2;2019;KIE;1;282;292;NA;NA;88;61.64;598.25;1233.42;34.68;36.94;350;NA;NA;NA;NA;NA;NA;NA;13.27;55;SB15
BRISONr_56;HN_NF;B1;9;3;2019;KIE;1;282;291;NA;NA;81;83.64;622.83;1201.5;35.3;32.88;391.67;NA;NA;NA;NA;NA;NA;NA;11.22;35;SB27
BRISONr_166;HN_NF;B1;10;3;2019;KIE;1;282;291;NA;NA;98;74.27;620;1306.58;38.42;38.01;425;NA;NA;NA;NA;NA;NA;NA;11.61;14;SB27
