Row;Column;BRISONr;Year;Location;Subtrial;Treatment;Block;Sowing_date;Emergence_date;BBCH59;BBCH87;Plantheight;Seedyield;Seedyield_bio;Biomass_bio;TKW_plot;TKW_bio;Spike_number;Stripe_rust;Powdery_mildew;Leaf_rust;Septoria;DTR;Fusarium;Sedimentation;Falling_number;Crude_protein
5;144;BRISONr_1;2017;QLB;1;LN_NF;B1;307;;150;;80;50.06976;530.4;1557.6;23.87697824;24.0665781;372;0.5;3.38;15.25;0.5;;3;42;;15.05
4;136;BRISONr_2;2017;QLB;1;LN_NF;B1;307;;151;;75;29.96507429;327.2;1071.2;19.72769373;20.99805846;464;12.5;6.23;1.275;0;;2.5;29;;14.5
6;142;BRISONr_3;2017;QLB;1;LN_NF;B1;307;;154;;74;49.23634286;628.8;1656;30.96994533;29.12897074;384;1.13;4.75;4.625;0;;2.5;57;;16
3;142;BRISONr_4;2017;QLB;1;LN_NF;B1;307;;154;;87;42.35273143;501.6;1749.6;18.9129359;19.70233094;496;1.5;5.56;9.75;0.5;;2;25;;15.73
6;137;BRISONr_5;2017;QLB;1;LN_NF;B1;307;;151;;81;50.57142857;471.2;1372.8;24.08691954;26.98490572;396;1.5;4.75;7.75;0.25;;3.5;42;;15.79
2;139;BRISONr_6;2017;QLB;1;LN_NF;B1;307;;151;;85;57.05965714;584.8;1504;26.40907093;40.50847112;408;1.65;1.17;2.625;2;;4;43;;14.38
7;135;BRISONr_7;2017;QLB;1;LN_NF;B1;307;;151;;78;43.17113143;414.4;1358.4;20.23806621;20;384;9.25;5.05;1.375;0;;2.75;33;;14.88
5;143;BRISONr_8;2017;QLB;1;LN_NF;B1;307;;155;;75;48.05869714;481.6;1400.8;28.93922664;25.86904762;368;0.4;1.85;1.575;0;;1.5;24;;15.55
1;134;BRISONr_9;2017;QLB;1;LN_NF;B1;307;;153;;84;66.56644571;649.6;1744.8;30.06247551;28.23891626;436;1;4.4;14.25;0.5;;1.5;47;;13.88
3;144;BRISONr_10;2017;QLB;1;LN_NF;B1;307;;154;;83;51.75245714;536;1584;23.81553088;24.5088656;460;2.13;3.63;2.5;0.5;;3.25;41;;15.33
3;134;BRISONr_11;2017;QLB;1;LN_NF;B1;307;;155;;83;54.90162286;466.4;1376;25.72127695;26.36256179;356;2.25;3.57;9.125;0;;1.5;49;;14.61
4;137;BRISONr_12;2017;QLB;1;LN_NF;B1;307;;154;191;86;53.43844571;492;1445.6;30.91637421;31.14473119;452;5;5.22;10.75;0.25;;1.5;43;;15.36
3;135;BRISONr_13;2017;QLB;1;LN_NF;B1;307;;155;;83;49.46925714;464.8;1398.4;22.69440164;22.74257899;416;3.5;5.88;18.25;0.25;;2.25;23;;14.5
2;133;BRISONr_14;2017;QLB;1;LN_NF;B1;307;;154;;77;41.11248;568.8;1579.2;27.14939236;26.34536341;404;3.5;5.58;25;1.75;;2.25;10;;13.53
8;138;BRISONr_15;2017;QLB;1;LN_NF;B1;307;;154;;81;47.85355429;547.2;1669.6;27.50372784;26.12369828;424;2.25;4.84;12.5;0.75;;1.5;47;;14.99
6;143;BRISONr_16;2017;QLB;1;LN_NF;B1;307;;153;;75;29.98;354.4;1135.2;25.01627604;23.70113053;416;2.63;6.38;12.5;0.25;;4;24;;15.54
2;144;BRISONr_17;2017;QLB;1;LN_NF;B1;307;;154;;81;52.19657143;700;1830.4;29.08123076;27.31598877;456;2.5;3.87;11;1.5;;1.25;41;;15.51
7;144;BRISONr_18;2017;QLB;1;LN_NF;B1;307;;152;;85;46.83899429;464;1484;26.27527741;25.70216657;392;10;5.98;8.625;0.25;;3.25;50;;15.58
3;133;BRISONr_19;2017;QLB;1;LN_NF;B1;307;;154;;85;58.74939429;501.6;1540;30.56457978;22.99557433;468;2.25;2.93;7.5;0.5;;1.75;39;;15.97
9;139;BRISONr_20;2017;QLB;1;LN_NF;B1;307;;156;;89;42.69888;433.6;1474.4;21.99485564;23.50179175;424;6.75;7.39;5.5;0.5;;3.75;45;;15.43
4;134;BRISONr_21;2017;QLB;1;LN_NF;B1;307;;155;191;91;52.73856;440;1308.8;27.55466131;24.79773823;472;0.5;3.6;1.375;0.5;;2;37;;14.76
3;139;BRISONr_22;2017;QLB;1;LN_NF;B1;307;;155;;84;50.7456;568;1540.8;21.71534971;23.8539065;516;5;3.55;8;0;;1.5;39;;15.38
9;138;BRISONr_23;2017;QLB;1;LN_NF;B1;307;;150;;93;57.16196571;561.6;1617.6;26.14810581;24.02240973;392;2.75;4.78;12.25;1.5;;5;47;;14.82
2;142;BRISONr_24;2017;QLB;1;LN_NF;B1;307;;155;;78;48.12377143;618.4;1684;24.58915877;21.78723223;392;0.38;5.17;5.375;1.5;;2;40;;15.76
6;139;BRISONr_25;2017;QLB;1;LN_NF;B1;307;;153;;87;51.62331429;515.2;1565.6;29.93236701;25.8603777;364;0.9;3.69;11.5;0.5;;2.5;54;;15.95
1;141;BRISONr_26;2017;QLB;1;LN_NF;B1;307;;154;;88;57.06852571;652;1680;31.90047475;33.92188256;388;3;5.19;13;1.5;;3.5;50;;15.67
6;140;BRISONr_27;2017;QLB;1;LN_NF;B1;307;;156;;87;38.456;400.8;1334.4;25.89310421;25.97034435;408;4.5;12.79;16.5;0.5;;3.5;25;;15.61
10;136;BRISONr_28;2017;QLB;1;LN_NF;B1;307;;155;;72;35.68301714;366.4;1282.4;20.14570194;19.15996031;464;10.38;3.76;1.875;0;;2.38;25;;16.28
6;138;BRISONr_29;2017;QLB;1;LN_NF;B1;307;;154;;78;59.28201143;541.6;1414.4;30.42875421;26.99504721;416;1.4;2.12;10.75;0.5;;3;45;;16.11
