Row;Column;BRISONr;Year;Location;Subtrial;Treatment;Block;Sowing_date;Emergence_date;BBCH59;BBCH87;Plantheight;Seedyield;Seedyield_bio;Biomass_bio;TKW_plot;TKW_bio;Spike_number;Stripe_rust;Powdery_mildew;Leaf_rust;Septoria;DTR;Fusarium;Sedimentation;Falling_number;Crude_protein
5;17;BRISONr_1;2016;RHH;1;LN_NF;B1;293;NA;153;NA;81;50.04009;753.816;1573.2704;42.3909;42.85714286;499.98;1;NA;1;8;NA;NA;17.256;324;9.682227222
4;28;BRISONr_1;2016;RHH;1;LN_NF;B2;293;NA;NA;NA;NA;56.76307;915.2198;2065.943;38.9277;39.20373421;679.46;NA;NA;NA;NA;NA;NA;21.394;289;9.294091416
4;13;BRISONr_2;2016;RHH;1;LN_NF;B1;293;NA;157;NA;68;32.62812;388.5742;981.371;24.3423;23.605919;435.88;6;NA;1;9;NA;NA;24.604;266;10.77069922
2;25;BRISONr_2;2016;RHH;1;LN_NF;B2;293;NA;NA;NA;NA;28.3059;515.4922;1193.9266;26.64;28.92805755;448.7;NA;NA;NA;NA;NA;NA;23.3085;305;10.13827778
8;28;BRISONr_3;2016;RHH;1;LN_NF;B1;293;NA;157;NA;84;56.6968;724.7146;1395.9698;45.3213;45.0438247;474.34;3;NA;1;7;NA;NA;27.134;382;10.75185185
2;28;BRISONr_3;2016;RHH;1;LN_NF;B2;293;NA;NA;NA;NA;65.07377;712.0228;1503.6578;45.1548;47.83807063;474.34;NA;NA;NA;NA;NA;NA;23.618;397;9.784121622
8;18;BRISONr_4;2016;RHH;1;LN_NF;B1;293;NA;154;NA;86;62.52498;865.991;1683.0096;38.2617;35.79756227;538.44;3;NA;1;9;NA;NA;9.87975;311;8.541619479
1;16;BRISONr_4;2016;RHH;1;LN_NF;B2;293;NA;NA;NA;NA;63.53452;656.5122;1330.2032;37.0629;38.2735426;384.6;NA;NA;NA;NA;NA;NA;12.201;325;9.244174208
6;28;BRISONr_5;2016;RHH;1;LN_NF;B1;293;NA;153;NA;90;51.99852;713.9458;NA;42.1911;41.71535581;448.7;4;NA;1;8;NA;NA;22.8435;402;9.837626547
1;22;BRISONr_5;2016;RHH;1;LN_NF;B2;293;NA;NA;NA;NA;54.4618;857.658;1839.67;40.959;41.83864916;499.98;NA;NA;NA;NA;NA;NA;24.4285;362;9.766573034
6;7;BRISONr_6;2016;RHH;1;LN_NF;B1;293;NA;154;NA;90;54.44397;1426.225;2822.4512;39.1275;41.08197932;910.22;5;NA;1;6;NA;NA;19.019;365;9.713483146
4;16;BRISONr_6;2016;RHH;1;LN_NF;B2;293;NA;NA;NA;NA;56.96568;490.365;1749.0326;36.63;21.238201;525.62;NA;NA;NA;NA;NA;NA;14.346;334;9.210033822
6;8;BRISONr_7;2016;RHH;1;LN_NF;B1;293;NA;154;NA;88;66.50145;632.5388;1243.0272;35.6643;35.36917563;435.88;6;NA;1;7;NA;NA;15.468;351;9.078811659
1;21;BRISONr_7;2016;RHH;1;LN_NF;B2;293;NA;NA;NA;NA;54.83632;553.6958;1220.2076;34.632;32.06384558;461.52;NA;NA;NA;NA;NA;NA;16.6745;351;9.333445567
7;25;BRISONr_8;2016;RHH;1;LN_NF;B1;293;NA;157;NA;84;63.99459;1009.4468;1991.9716;40.7925;42.79347826;512.8;3;NA;1;3;NA;NA;10.0113;283;9.448931384
3;25;BRISONr_8;2016;RHH;1;LN_NF;B2;293;NA;NA;NA;NA;65.9034;831.5052;1779.416;37.5291;40.63909774;461.52;NA;NA;NA;NA;NA;NA;10.6985;296;9.866179775
7;13;BRISONr_9;2016;RHH;1;LN_NF;B1;293;NA;153;NA;90;56.42;856.6324;1860.3102;40.0266;41.99874293;589.72;2;NA;6;7;NA;NA;20.4725;369;9.719170404
3;10;BRISONr_9;2016;RHH;1;LN_NF;B2;293;NA;NA;NA;NA;58.3884;679.5882;1609.4228;35.1981;39.1506647;499.98;NA;NA;NA;NA;NA;NA;20.3425;358;9.812738496
7;17;BRISONr_10;2016;RHH;1;LN_NF;B1;293;NA;153;NA;88;53.08812;726.894;1509.2986;39.6603;37.6744186;358.96;3;NA;1;6;NA;NA;18.3415;301;8.998926554
3;2;BRISONr_10;2016;RHH;1;LN_NF;B2;293;NA;NA;NA;NA;67.30842;1094.4434;2291.0622;40.0266;38.99954317;589.72;NA;NA;NA;NA;NA;NA;20.733;315;9.977057497
6;14;BRISONr_11;2016;RHH;1;LN_NF;B1;293;NA;155;NA;88;67.35794;829.9668;1344.818;38.9943;39.23636364;499.98;3;NA;6;7;NA;NA;22.8145;357;9.162119504
5;25;BRISONr_11;2016;RHH;1;LN_NF;B2;293;NA;NA;NA;NA;67.3208;842.274;1745.5712;37.3626;37.88927336;512.8;NA;NA;NA;NA;NA;NA;19.966;371;8.986045198
7;23;BRISONr_12;2016;RHH;1;LN_NF;B1;293;NA;155;NA;98;58.05563;1464.9414;3467.81;43.9893;46.3006483;923.04;4;NA;6;6;NA;NA;20.184;369;9.309955006
2;2;BRISONr_12;2016;RHH;1;LN_NF;B2;293;NA;NA;NA;NA;66.3024;795.8656;1723.649;43.3566;45.38011696;499.98;NA;NA;NA;NA;NA;NA;17.6195;304;9.628781038
8;13;BRISONr_13;2016;RHH;1;LN_NF;B1;293;NA;155;NA;85;67.899;1022.0104;2014.9194;36.4635;37.30463266;551.26;4;NA;7;8;NA;NA;15.312;233;8.610290828
