ReifeHoehe;Row;Column;BRISONr;Year;Location;Subtrial;Sorte;Treatment;Block;Sowing_date;Emergence_date;BBCH59;BBCH87;Plantheight;Seedyield;Seedyield_bio;Biomass_bio;TKW_plot;TKW_bio;Spike_number;Stripe_rust;Powdery_mildew;Septoria;DTR;Leaf_rust;Fusarium;Sedimentation;Falling_number;Crude_protein;Kernel_number_bio;StrawYield_dt/ha;Spikes_per_ear
NA;4;34;BRISONR_102;2017;RHH;1;Urban;HN_NF;B1;291;NA;152;NA;85;69;842.27;1772.11;37.89;43.42;602.54;5;NA;NA;4;5;3;NA;NA;NA;NA;74.57;32.19
NA;1;70;BRISONR_102;2017;RHH;1;Urban;HN_NF;B2;291;NA;NA;NA;NA;75.36;731.38;1512.25;39.32;42.32;551.26;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;63.25;31.35
NA;3;26;BRISONR_104;2017;RHH;1;Flair;HN_NF;B1;291;NA;151;NA;85;60.18;686.77;1463.27;33.17;34.21;551.26;4;NA;NA;3;5;3;NA;NA;NA;NA;60.51;36.42
NA;3;68;BRISONR_104;2017;RHH;1;Flair;HN_NF;B2;291;NA;NA;NA;NA;64.94;733.05;1501.73;33.47;36.44;512.8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;60.36;39.23
NA;5;30;BRISONR_110;2017;RHH;1;Tabor;HN_NF;B1;291;NA;153;NA;88;61.76;753.18;1639.42;35.81;39.19;525.62;6;NA;NA;3;6;2;NA;NA;NA;NA;70.77;36.56
NA;5;69;BRISONR_110;2017;RHH;1;Tabor;HN_NF;B2;291;NA;NA;NA;NA;62.97;695.87;1555.58;37.69;36.45;679.46;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;68.48;28.09
NA;1;32;BRISONR_114;2017;RHH;1;Progreß;HN_NF;B1;291;NA;152;NA;97;64.55;688.18;1491.35;39.11;23.6;499.98;3;NA;NA;4;4;3;NA;NA;NA;NA;65.54;58.33
NA;2;71;BRISONR_114;2017;RHH;1;Progreß;HN_NF;B2;291;NA;NA;NA;NA;61.37;690.49;1528.53;36.5;41.4;589.72;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;67.57;28.28
NA;3;27;BRISONR_118;2017;RHH;1;Drifter;HN_NF;B1;291;NA;150;NA;87;61.95;704.33;1462.89;37.17;38.85;525.62;7;NA;NA;6;7;6;NA;NA;NA;NA;58.04;34.49
NA;4;66;BRISONR_118;2017;RHH;1;Drifter;HN_NF;B2;291;NA;NA;NA;NA;59.48;691.64;1509.68;36.18;39.9;512.8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;64.18;33.8
NA;1;29;BRISONR_121;2017;RHH;1;Sperber;HN_NF;B1;291;NA;151;NA;98;77.44;798.43;1545.32;40.03;43.16;499.98;7;NA;NA;3;6;4;NA;NA;NA;NA;59.41;37
NA;1;68;BRISONR_121;2017;RHH;1;Sperber;HN_NF;B2;291;NA;NA;NA;NA;79;751.89;1549.04;37.07;42.59;499.98;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;65.88;35.31
NA;3;29;BRISONR_124;2017;RHH;1;Obelisk;HN_NF;B1;291;NA;151;NA;85;61.31;960.35;1945.69;34.73;38.2;756.38;6;NA;NA;5;6;4;NA;NA;NA;NA;77.05;33.24
NA;4;69;BRISONR_124;2017;RHH;1;Obelisk;HN_NF;B2;291;NA;NA;NA;NA;67.42;865.61;1737.62;36.09;40;653.82;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;67.33;33.1
