BRISONr;Treatment;Block;Row;Column;Year;Location;Subtrial;Sowing_date;Emergence_date;BBCH59;BBCH87;Plantheight;Seedyield;Biomass_bio;Seedyield_bio;TKW_bio;Spike_number;Stripe_rust;Powdery_mildew;Leaf_rust;Septoria;DTR;Fusarium;Falling_number;Crude_protein;Sedimentation
BRISONr_20;LN_NF;B1;50;4;2019;RHH;1;288;NA;NA;NA;NA;50.0186;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;10.02312073;24
BRISONr_20;LN_NF;B2;89;1;2019;RHH;1;288;NA;NA;NA;NA;54.37638;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;8.935193622;22
BRISONr_20;LN_WF;B1;11;3;2019;RHH;1;288;NA;NA;NA;NA;60.39;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;9.770785877;20
BRISONr_20;LN_WF;B2;90;2;2019;RHH;1;288;NA;NA;NA;NA;60.66186;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;9.835307517;20
BRISONr_20;HN_NF;B1;23;2;2019;RHH;1;288;NA;NA;NA;NA;69.28999;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;12.27790433;33
BRISONr_20;HN_NF;B2;59;3;2019;RHH;1;288;NA;NA;NA;NA;71.29326;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;12.24886105;31
BRISONr_20;HN_WF;B1;30;1;2019;RHH;1;288;NA;NA;NA;NA;73.64775;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;12.3405467;29
BRISONr_20;HN_WF;B2;80;4;2019;RHH;1;288;NA;NA;NA;NA;70.1063;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;12.21013667;29
BRISONr_26;LN_NF;B1;19;4;2019;RHH;1;288;NA;NA;NA;NA;65.194;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;9.607428571;20
BRISONr_26;LN_NF;B2;66;1;2019;RHH;1;288;NA;NA;NA;NA;65.83656;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;9.120514286;18
BRISONr_26;LN_WF;B1;6;3;2019;RHH;1;288;NA;NA;NA;NA;70.73244;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;9.068285714;19
