Date;Location;Temperature.Air.Mean_C;Precipitation_mm_d;Relative.Air.Humidity_percent;Global.Radiation_MJ_m2_d;Wind.Speed_m_s;Temperature.Air.Min_C;Temperature.Air.Max_C
2014-01-01;GGE;4,8;2,6;83,7;2,77;2,2;0,2;8,7
2014-01-02;GGE;7,4;0,9;86,3;2,22;3,9;4,2;10,4
2014-01-03;GGE;7,8;0,0;84,9;1,89;3,1;3,4;11,4
2014-01-04;GGE;6,5;2,5;87,1;1,28;2,4;3,2;9,5
2014-01-05;GGE;5,5;0,1;84,8;3,15;3,0;1,8;8,3
2014-01-06;GGE;6,0;6,0;80,6;1,31;2,7;1,8;9,2
2014-01-07;GGE;9,9;1,4;81,2;3,31;2,9;7,0;12,8
2014-01-08;GGE;10,0;0,2;86,0;3,66;3,2;5,6;13,5
2014-01-09;GGE;9,3;0,8;81,6;2,38;4,3;5,7;13,2
2014-01-10;GGE;5,2;0,0;81,6;4,18;3,1;0,3;9,0
2014-01-11;GGE;2,2;1,2;93,6;2,31;2,1;-1,9;6,4
2014-01-12;GGE;1,0;0,0;90,3;5,41;1,4;-2,5;6,0
2014-01-13;GGE;2,1;0,1;98,8;1,41;1,5;-1,2;4,4
2014-01-14;GGE;4,1;0,5;97,0;1,43;1,5;2,1;5,7
2014-01-15;GGE;4,1;2,9;87,2;2,47;2,8;1,9;5,5
2014-01-16;GGE;5,8;1,1;92,4;1,46;2,3;3,9;7,9
2014-01-17;GGE;6,2;0,0;84,3;4,81;2,9;0,9;10,2
2014-01-18;GGE;2,7;1,2;91,9;3,75;2,0;-0,7;6,3
2014-01-19;GGE;3,3;0,0;91,1;1,77;1,8;0,1;5,5
2014-01-20;GGE;3,4;0,2;95,2;1,55;1,7;1,9;4,3
2014-01-21;GGE;3,4;0,1;91,0;1,57;2,0;2,7;4,1
2014-01-22;GGE;4,1;1,2;92,9;1,59;0,9;3,0;5,1
2014-01-23;GGE;3,8;6,4;91,7;1,62;2,1;2,4;5,8
