Date;Location;Temperature.Air.Mean_C;Precipitation_mm_d;Relative.Air.Humidity_percent;Global.Radiation_MJ_m2_d;Wind.Speed_m_s;Temperature.Air.Min_C;Temperature.Air.Max_C
2014-01-01;KAL;6,8;0,3;76,0;3,43;3,7;2,8;9,6
2014-01-02;KAL;8,5;0,2;80,2;1,65;4,3;4,0;10,8
2014-01-03;KAL;9,0;0,5;78,6;2,50;4,4;4,2;12,3
2014-01-04;KAL;7,6;1,6;80,3;1,21;3,6;4,5;9,5
2014-01-05;KAL;6,4;0,0;78,8;4,21;3,2;3,8;8,9
2014-01-06;KAL;9,6;2,8;80,3;1,53;4,3;5,0;12,7
2014-01-07;KAL;10,7;0,4;75,9;4,09;3,6;7,7;13,7
2014-01-08;KAL;9,8;0,0;78,6;3,85;3,0;5,7;12,7
2014-01-09;KAL;9,6;0,4;78,6;1,97;4,7;6,0;12,5
2014-01-10;KAL;5,4;0,0;79,0;4,40;3,1;1,6;9,2
2014-01-11;KAL;4,1;0,7;87,5;2,92;2,9;-0,4;9,7
2014-01-12;KAL;2,5;1,2;84,2;4,83;2,2;-0,6;6,6
2014-01-13;KAL;4,7;0,1;87,6;2,55;2,7;0,1;8,2
2014-01-14;KAL;4,9;0,0;89,4;3,07;2,6;2,2;8,0
2014-01-15;KAL;3,6;3,2;86,8;2,08;3,3;0,1;5,2
2014-01-16;KAL;6,6;0,0;85,9;1,56;3,3;4,4;8,4
2014-01-17;KAL;7,7;0,0;76,7;3,68;3,2;4,3;10,2
2014-01-18;KAL;5,0;1,2;80,9;4,58;3,7;1,9;8,6
2014-01-19;KAL;4,6;1,2;86,5;3,31;3,2;1,9;8,1
2014-01-20;KAL;3,2;0,3;94,4;1,48;1,8;1,7;4,3
2014-01-21;KAL;2,6;0,2;95,0;1,50;1,8;1,5;3,7
2014-01-22;KAL;2,4;0,0;91,0;5,05;2,0;-1,3;5,8
2014-01-23;KAL;1,6;3,5;92,6;2,34;2,5;-1,7;4,3
2014-01-24;KAL;3,4;0,1;90,6;1,57;2,8;2,3;4,3
2014-01-25;KAL;2,6;3,7;86,8;2,56;2,7;-0,3;4,9
2014-01-26;KAL;4,5;3,7;80,7;2,82;5,4;2,2;6,4
2014-01-27;KAL;3,7;0,1;81,1;3,99;3,9;0,9;6,0
2014-01-28;KAL;3,4;0,0;77,0;5,09;4,1;0,0;6,5
2014-01-29;KAL;1,5;1,2;77,2;5,12;4,5;-0,2;4,0
2014-01-30;KAL;1,9;1,2;74,6;4,55;3,2;-1,6;5,6
2014-01-31;KAL;2,1;0,0;79,3;6,62;2,4;-2,6;7,7
2014-02-01;KAL;5,5;0,5;78,0;1,88;4,4;3,0;6,9
2014-02-02;KAL;4,0;0,0;80,1;7,26;2,8;-1,1;9,3
2014-02-03;KAL;1,5;0,9;88,8;3,73;2,7;-2,8;4,8
2014-02-04;KAL;4,7;0,0;78,5;4,44;3,1;1,5;8,8
2014-02-05;KAL;5,5;0,3;77,6;3,63;4,8;2,9;8,1
2014-02-06;KAL;8,1;0,3;68,8;5,84;4,7;5,7;10,4
2014-02-07;KAL;8,9;1,0;67,7;5,62;6,5;3,5;13,0
2014-02-08;KAL;6,7;2,2;74,1;2,87;4,9;3,3;9,1
2014-02-09;KAL;5,5;0,1;68,7;5,38;5,3;2,2;7,9
2014-02-10;KAL;3,4;2,3;80,3;2,20;3,0;0,6;6,4
2014-02-11;KAL;5,5;0,2;73,5;6,44;3,7;2,3;8,8
2014-02-12;KAL;5,4;0,5;71,5;8,39;4,6;1,7;8,2
2014-02-13;KAL;5,2;2,9;83,9;2,31;3,7;3,1;7,2
2014-02-14;KAL;5,3;1,0;78,9;4,70;4,7;1,9;9,4
2014-02-15;KAL;10,1;0,2;66,2;5,52;5,9;6,1;12,7
2014-02-16;KAL;6,5;0,9;76,2;6,19;3,8;1,8;9,2
2014-02-17;KAL;4,9;0,2;81,1;7,93;3,0;0,6;10,5
2014-02-18;KAL;4,8;0,1;80,8;2,51;2,2;1,0;8,3
2014-02-19;KAL;7,4;0,8;81,0;4,88;2,7;4,6;10,8
2014-02-20;KAL;8,1;0,5;78,9;7,18;3,9;4,8;11,5
2014-02-21;KAL;6,9;1,1;80,0;7,19;3,5;3,2;9,9
2014-02-22;KAL;4,9;0,0;78,7;4,58;3,5;1,1;8,0
2014-02-23;KAL;5,0;0,9;76,9;7,61;3,2;-0,5;10,2
2014-02-24;KAL;7,3;0,9;66,2;10,97;3,8;1,1;14,4
2014-02-25;KAL;8,2;0,0;68,9;6,87;3,6;3,4;11,9
2014-02-26;KAL;7,8;0,3;79,3;5,20;2,0;4,2;10,7
2014-02-27;KAL;4,9;1,9;83,6;7,71;3,5;0,1;10,0
2014-02-28;KAL;5,7;0,7;80,0;6,56;3,3;1,8;9,1
2014-03-01;KAL;4,4;0,6;84,8;5,13;2,3;0,6;8,1
2014-03-02;KAL;3,9;0,3;79,0;9,88;2,6;-0,4;9,3
2014-03-03;KAL;5,0;0,2;76,5;6,82;3,6;0,8;10,0
2014-03-04;KAL;5,4;0,0;74,9;9,72;1,8;-1,1;12,2
2014-03-05;KAL;4,7;0,3;82,8;10,49;2,0;0,5;9,9
2014-03-06;KAL;4,9;0,3;76,6;12,91;2,0;-1,8;13,2
2014-03-07;KAL;7,1;0,3;68,6;11,72;2,0;-0,3;15,0
2014-03-08;KAL;10,1;0,3;66,1;13,61;2,8;3,3;16,8
2014-03-09;KAL;12,1;0,3;47,6;14,20;3,5;3,9;21,1
2014-03-10;KAL;10,1;0,3;55,4;14,36;1,9;1,1;19,4
2014-03-11;KAL;8,4;0,3;74,0;12,35;2,6;1,9;16,4
2014-03-12;KAL;9,3;0,3;64,2;14,65;1,8;1,2;19,2
2014-03-13;KAL;9,5;0,3;60,0;14,99;1,9;0,5;18,6
2014-03-14;KAL;8,7;0,3;68,3;14,65;1,7;1,0;17,1
2014-03-15;KAL;8,8;1,0;73,1;6,27;5,0;5,9;11,1
2014-03-16;KAL;10,7;0,3;73,7;7,75;4,3;6,3;14,6
2014-03-17;KAL;9,9;0,3;75,7;3,99;3,0;6,9;12,3
2014-03-18;KAL;9,4;0,8;76,4;4,69;3,4;6,8;12,2
2014-03-19;KAL;11,7;0,3;65,3;12,59;4,7;8,4;16,8
2014-03-20;KAL;13,3;0,3;54,9;16,24;3,7;3,5;21,7
2014-03-21;KAL;11,3;0,4;67,1;7,91;4,5;4,0;15,7
2014-03-22;KAL;7,3;3,8;79,5;6,63;3,2;2,5;12,8
2014-03-23;KAL;4,9;0,8;79,6;10,19;2,9;0,6;9,5
2014-03-24;KAL;3,7;0,3;82,8;10,76;1,5;-0,6;9,4
2014-03-25;KAL;3,5;0,0;76,0;14,41;1,8;-2,5;10,8
2014-03-26;KAL;4,3;0,1;73,3;14,74;1,8;-1,6;11,2
2014-03-27;KAL;8,1;0,3;63,9;16,70;2,7;1,0;15,3
2014-03-28;KAL;10,7;0,3;57,1;17,13;3,2;2,2;18,0
2014-03-29;KAL;11,5;0,3;57,1;18,24;2,9;3,2;19,5
2014-03-30;KAL;12,4;0,3;57,0;14,52;1,7;3,3;21,6
2014-03-31;KAL;13,8;0,3;53,9;14,47;1,6;6,3;22,3
2014-04-01;KAL;14,9;1,2;56,2;15,51;1,7;7,9;21,9
