Date;Location;Temperature.Air.Mean_C;Precipitation_mm_d;Relative.Air.Humidity_percent;Global.Radiation_MJ_m2_d;Wind.Speed_m_s;Temperature.Air.Min_C;Temperature.Air.Max_C
2014-01-01;KIE;3,4;0,7;85,7;1,69;3,9;2,0;5,6
2014-01-02;KIE;5,9;1,0;89,9;0,96;4,6;2,7;7,8
2014-01-03;KIE;6,5;3,2;92,2;1,12;4,5;4,3;8,9
2014-01-04;KIE;5,9;0,0;82,0;2,25;4,8;5,0;7,5
2014-01-05;KIE;4,7;0,7;90,1;1,30;3,9;2,4;7,0
2014-01-06;KIE;6,7;13,2;91,8;0,91;5,5;2,6;10,2
2014-01-07;KIE;9,2;0,3;84,7;1,43;5,8;7,3;10,8
2014-01-08;KIE;8,3;3,6;88,5;0,91;6,4;7,1;9,4
2014-01-09;KIE;7,7;2,2;90,3;0,93;6,8;5,7;10,6
2014-01-10;KIE;6,3;4,2;86,7;1,81;7,8;5,2;7,4
2014-01-11;KIE;5,3;6,0;91,0;0,96;6,3;2,9;6,5
2014-01-12;KIE;4,0;1,2;85,9;2,96;5,9;0,9;6,6
2014-01-13;KIE;3,2;1,7;95,7;0,99;4,1;0,5;6,2
2014-01-14;KIE;3,1;0,0;98,7;2,33;2,2;0,6;5,3
2014-01-15;KIE;2,9;4,5;97,2;1,02;3,9;1,8;3,7
2014-01-16;KIE;2,8;8,5;96,4;1,04;5,9;1,7;3,9
2014-01-17;KIE;5,7;2,2;95,9;1,58;2,8;3,4;7,4
2014-01-18;KIE;5,4;0,1;95,0;1,25;4,6;4,0;6,2
2014-01-19;KIE;2,9;2,2;90,8;1,10;9,5;0,4;4,2
2014-01-20;KIE;0,2;0,3;93,0;1,12;7,2;-0,3;0,5
2014-01-21;KIE;-0,6;1,2;93,7;1,14;4,4;-1,2;0,2
2014-01-22;KIE;-2,7;2,2;89,2;1,17;6,8;-3,6;-1,0
2014-01-23;KIE;-3,3;0,4;81,6;1,19;7,2;-5,1;-2,5
2014-01-24;KIE;-5,2;2,2;82,2;3,35;7,1;-7,0;-3,5
2014-01-25;KIE;-7,9;2,2;75,7;3,02;5,7;-9,2;-6,4
2014-01-26;KIE;-9,0;0,6;81,7;4,23;6,7;-10,6;-7,2
2014-01-27;KIE;-2,0;0,2;93,7;3,53;5,3;-8,2;3,0
2014-01-28;KIE;-1,0;2,2;95,1;1,45;5,6;-2,2;0,6
2014-01-29;KIE;-4,7;0,2;83,5;1,52;6,8;-6,0;-1,7
2014-01-30;KIE;-4,8;0,3;87,9;1,37;5,2;-5,6;-3,6
2014-01-31;KIE;-3,8;2,2;90,3;1,40;4,4;-5,5;-2,4
2014-02-01;KIE;2,0;1,6;88,1;1,50;4,5;-2,5;4,0
2014-02-02;KIE;3,5;1,6;88,4;5,49;3,5;0,9;6,8
2014-02-03;KIE;1,3;0,0;94,5;5,51;3,0;-2,0;4,7
2014-02-04;KIE;2,2;1,6;87,6;4,87;3,3;0,3;5,5
2014-02-05;KIE;1,8;0,1;89,6;4,71;3,7;-0,5;4,5
2014-02-06;KIE;5,7;3,8;79,8;2,12;4,4;2,6;8,1
2014-02-07;KIE;6,2;9,2;89,5;2,50;5,9;4,0;9,9
2014-02-08;KIE;5,3;1,2;87,0;2,08;5,3;3,0;7,2
2014-02-09;KIE;5,4;5,4;80,7;4,42;6,2;3,6;8,0
2014-02-10;KIE;4,5;0,2;78,3;6,07;3,9;1,6;7,8
2014-02-11;KIE;3,8;0,4;86,5;3,88;3,7;1,6;6,3
2014-02-12;KIE;4,6;1,7;79,4;5,63;4,8;2,4;7,3
2014-02-13;KIE;5,5;2,0;77,8;4,87;4,8;2,5;8,5
2014-02-14;KIE;3,8;1,1;88,0;4,87;4,1;1,4;6,4
2014-02-15;KIE;8,7;3,9;69,6;4,37;7,3;4,3;12,3
2014-02-16;KIE;5,4;4,6;85,5;3,22;8,4;2,9;7,6
2014-02-17;KIE;3,8;0,0;86,6;7,97;3,9;1,1;8,2
2014-02-18;KIE;5,0;0,0;87,2;3,53;2,9;1,4;8,2
2014-02-19;KIE;5,5;3,0;94,9;2,46;3,4;3,9;7,1
2014-02-20;KIE;7,2;5,0;87,2;4,61;4,2;5,4;10,1
2014-02-21;KIE;6,6;2,2;92,0;3,19;4,2;3,4;9,1
2014-02-22;KIE;4,9;0,4;87,2;4,47;5,0;2,8;6,6
2014-02-23;KIE;6,2;1,6;78,8;9,06;5,0;2,6;10,0
2014-02-24;KIE;6,7;1,6;69,1;8,84;4,1;2,8;11,2
2014-02-25;KIE;7,6;1,6;69,3;8,87;3,5;3,0;13,0
2014-02-26;KIE;7,6;0,0;80,9;6,06;2,4;2,7;11,1
2014-02-27;KIE;5,3;0,0;85,4;8,98;2,6;0,3;10,6
2014-02-28;KIE;4,2;0,5;91,0;3,34;1,7;0,7;6,3
2014-03-01;KIE;2,9;3,3;94,0;5,86;2,4;-1,9;6,7
2014-03-02;KIE;4,7;0,0;88,9;5,50;2,8;2,1;7,1
2014-03-03;KIE;5,8;0,8;78,2;9,80;4,4;2,4;10,0
2014-03-04;KIE;4,9;0,0;88,1;4,73;1,5;1,4;8,4
2014-03-05;KIE;3,7;0,8;95,2;5,42;2,1;1,2;7,3
2014-03-06;KIE;5,7;0,8;86,8;8,27;3,0;1,8;11,2
2014-03-07;KIE;8,1;0,4;75,9;6,55;4,6;4,2;12,9
2014-03-08;KIE;6,3;0,8;68,4;12,25;3,2;0,4;11,6
2014-03-09;KIE;10,5;0,8;62,8;12,78;3,7;4,9;18,4
2014-03-10;KIE;10,3;0,8;68,3;12,93;3,2;4,1;17,5
2014-03-11;KIE;5,6;0,8;78,5;13,48;3,1;-0,3;10,5
2014-03-12;KIE;5,2;0,8;69,6;13,71;1,4;-1,8;13,1
2014-03-13;KIE;6,4;0,8;73,8;13,71;2,4;-1,0;15,2
2014-03-14;KIE;6,7;3,2;89,1;11,48;5,1;3,6;11,2
2014-03-15;KIE;7,5;2,6;78,6;9,97;10,5;6,0;10,0
2014-03-16;KIE;8,4;0,6;91,5;3,55;10,2;7,3;9,9
2014-03-17;KIE;8,5;0,1;88,2;3,51;7,8;7,3;9,9
2014-03-18;KIE;8,2;1,8;85,4;6,26;6,1;6,3;11,2
2014-03-19;KIE;8,1;0,4;88,4;5,22;6,9;6,0;10,5
2014-03-20;KIE;12,4;1,0;63,8;14,66;6,5;6,5;18,7
2014-03-21;KIE;7,2;9,8;87,2;3,89;5,1;2,8;12,5
2014-03-22;KIE;5,5;1,0;88,1;10,02;3,6;2,1;11,2
2014-03-23;KIE;5,1;0,0;86,2;11,83;3,6;1,8;10,0
2014-03-24;KIE;4,4;0,4;85,0;12,61;2,0;-0,6;9,6
2014-03-25;KIE;4,4;2,3;80,7;15,21;3,1;-1,9;9,6
2014-03-26;KIE;5,1;0,5;83,5;10,32;4,9;2,3;9,8
2014-03-27;KIE;4,1;0,8;88,2;11,60;5,3;2,2;6,6
2014-03-28;KIE;5,1;0,8;93,5;4,45;4,7;3,4;6,6
2014-03-29;KIE;6,6;0,8;94,2;9,71;3,5;2,3;11,0
2014-03-30;KIE;7,6;0,8;91,2;14,01;2,1;1,3;14,3
2014-03-31;KIE;6,0;0,8;96,6;5,37;1,7;2,1;10,6
2014-04-01;KIE;5,3;2,3;94,2;3,96;4,7;4,1;7,0
2014-04-02;KIE;8,1;2,3;86,7;12,53;3,6;4,0;15,6
2014-04-03;KIE;5,9;2,3;89,2;13,52;5,4;3,5;10,5
2014-04-04;KIE;5,5;20,6;80,2;5,77;7,2;4,2;7,0
2014-04-05;KIE;8,0;0,3;97,1;4,17;2,8;5,0;10,8
2014-04-06;KIE;11,1;10,4;98,1;4,22;3,5;7,9;13,8
2014-04-07;KIE;14,2;0,2;87,4;8,25;4,1;12,2;17,8
2014-04-08;KIE;10,2;7,8;87,8;7,13;6,1;6,5;15,6
2014-04-09;KIE;8,2;0,0;84,6;9,82;7,5;5,9;11,1
2014-04-10;KIE;7,7;0,0;90,2;7,16;2,5;4,1;10,7
2014-04-11;KIE;9,0;0,0;83,7;12,93;3,3;3,6;13,4
2014-04-12;KIE;7,3;1,6;84,1;13,11;3,5;0,7;12,7
2014-04-13;KIE;8,9;6,4;80,1;14,73;6,7;6,9;12,3
2014-04-14;KIE;7,2;1,6;77,5;14,38;8,9;4,5;10,3
2014-04-15;KIE;7,0;2,3;66,6;21,41;5,5;1,1;11,7
2014-04-16;KIE;6,8;2,3;63,1;21,48;2,1;-1,0;13,3
2014-04-17;KIE;9,3;5,2;66,3;15,25;5,3;4,5;16,1
2014-04-18;KIE;6,9;0,1;84,6;6,87;4,6;4,2;10,2
2014-04-19;KIE;9,2;2,3;81,9;20,90;4,7;3,9;13,9
2014-04-20;KIE;11,7;0,0;77,0;22,15;5,8;7,7;16,8
2014-04-21;KIE;11,2;0,0;84,9;14,57;5,6;8,4;16,4
2014-04-22;KIE;12,1;11,8;89,2;15,77;3,6;7,8;17,5
2014-04-23;KIE;9,7;0,0;94,1;5,88;3,9;7,6;12,0
2014-04-24;KIE;8,4;2,3;90,4;5,08;5,0;6,8;10,4
2014-04-25;KIE;11,3;2,3;83,1;22,81;4,2;6,0;16,6
2014-04-26;KIE;12,2;2,3;80,1;23,47;3,9;6,4;18,1
2014-04-27;KIE;12,9;2,3;78,9;23,37;4,9;8,0;18,6
2014-04-28;KIE;12,3;2,3;73,2;23,79;3,4;6,3;17,9
2014-04-29;KIE;13,2;2,3;59,6;23,68;1,8;3,9;19,5
2014-04-30;KIE;13,4;2,3;67,4;20,06;2,4;6,5;19,9
2014-05-01;KIE;9,0;0,0;72,5;20,42;4,8;5,3;12,5
2014-05-02;KIE;7,9;0,0;63,4;17,70;4,2;1,3;11,4
2014-05-03;KIE;7,5;0,0;68,2;21,16;3,9;-0,2;13,7
2014-05-04;KIE;7,9;0,0;65,4;8,19;4,4;4,2;10,8
2014-05-05;KIE;8,8;0,0;78,7;5,46;2,2;4,1;12,3
2014-05-06;KIE;12,4;7,3;73,7;10,17;3,6;8,4;18,1
2014-05-07;KIE;12,1;2,0;87,7;14,40;4,2;9,5;16,3
2014-05-08;KIE;10,7;11,7;92,3;9,27;3,8;8,8;14,2
2014-05-09;KIE;10,6;5,1;92,9;10,11;3,3;7,9;14,4
