Date;Location;Temperature.Air.Mean_C;Precipitation_mm_d;Relative.Air.Humidity_percent;Global.Radiation_MJ_m2_d;Wind.Speed_m_s;Temperature.Air.Min_C;Temperature.Air.Max_C
2014-01-01;QLB;3,3;0,0;76,1;2,94;2,9;0,7;6,4
2014-01-02;QLB;6,4;0,0;77,9;1,09;3,8;3,0;8,7
2014-01-03;QLB;6,9;1,2;81,8;2,47;3,6;2,8;10,1
2014-01-04;QLB;5,8;0,0;79,6;2,06;2,8;2,9;7,9
2014-01-05;QLB;5,4;0,6;82,9;1,71;2,7;0,9;7,8
2014-01-06;QLB;6,8;1,6;76,5;1,83;4,5;2,7;10,3
2014-01-07;QLB;9,9;0,6;77,1;3,99;3,5;7,9;11,9
2014-01-08;QLB;9,4;0,3;78,3;3,42;3,7;5,5;11,5
2014-01-09;QLB;9,4;0,5;77,8;2,09;4,7;3,9;12,7
2014-01-10;QLB;5,7;0,0;74,8;3,67;4,8;3,8;7,6
2014-01-11;QLB;5,0;2,1;77,5;4,02;4,2;2,5;7,5
2014-01-12;QLB;2,9;1,0;76,3;4,22;3,9;-1,6;5,8
2014-01-13;QLB;2,5;0,0;84,4;2,21;2,1;-2,5;5,9
2014-01-14;QLB;2,7;0,0;93,9;2,65;1,1;-0,4;5,5
2014-01-15;QLB;2,5;1,0;88,4;2,09;1,5;-0,6;6,1
2014-01-16;QLB;4,7;4,0;89,6;1,28;2,4;1,9;7,7
2014-01-17;QLB;6,5;0,0;83,3;1,89;2,3;4,0;9,1
2014-01-18;QLB;3,4;0,0;89,9;4,02;2,2;0,3;6,3
2014-01-19;QLB;2,3;0,1;97,9;1,34;4,2;-0,1;4,0
2014-01-20;QLB;-1,1;2,3;98,8;1,37;2,9;-1,7;-0,1
2014-01-21;QLB;-1,8;1,6;96,9;1,39;1,3;-2,1;-1,5
2014-01-22;QLB;-2,8;0,4;95,7;1,41;3,0;-4,6;-1,8
2014-01-23;QLB;-3,9;4,6;95,2;1,44;3,7;-4,8;-3,1
2014-01-24;QLB;-4,7;0,2;93,6;1,46;2,8;-6,8;-3,6
2014-01-25;QLB;-9,3;0,7;89,2;2,73;3,6;-10,8;-6,7
2014-01-26;QLB;-9,6;0,4;89,1;1,58;3,9;-11,7;-5,7
2014-01-27;QLB;1,0;0,0;86,0;4,69;2,5;-5,8;5,2
2014-01-28;QLB;-0,7;0,0;88,3;4,30;2,7;-4,0;3,1
2014-01-29;QLB;-5,4;0,0;92,2;1,59;3,7;-6,2;-3,1
2014-01-30;QLB;-3,8;1,0;88,3;4,74;2,9;-6,0;-1,3
2014-01-31;QLB;-2,4;0,0;87,9;4,11;1,8;-5,4;2,0
2014-02-01;QLB;2,9;1,1;77,8;3,97;2,9;-3,6;7,1
2014-02-02;QLB;3,1;0,0;89,8;1,84;1,2;-0,9;5,8
2014-02-03;QLB;-0,2;0,6;93,6;1,94;2,2;-2,7;2,0
2014-02-04;QLB;1,9;0,4;87,4;3,60;1,7;-1,5;6,5
2014-02-05;QLB;1,8;0,0;84,9;5,96;2,0;-2,6;5,6
2014-02-06;QLB;6,2;0,0;72,9;6,10;3,8;3,4;9,7
2014-02-07;QLB;8,8;0,0;61,4;4,44;6,1;4,9;13,0
2014-02-08;QLB;6,0;0,0;71,8;3,34;3,9;2,6;9,0
2014-02-09;QLB;6,2;0,0;64,9;6,89;4,4;3,2;9,3
2014-02-10;QLB;4,4;0,0;72,1;6,42;2,8;-0,6;9,0
2014-02-11;QLB;4,5;0,0;77,2;4,98;3,7;2,1;7,8
2014-02-12;QLB;4,8;0,0;70,7;7,34;3,8;3,0;8,6
2014-02-13;QLB;5,4;5,4;77,4;5,48;3,4;2,6;9,2
2014-02-14;QLB;5,3;0,0;71,7;8,62;4,1;3,0;8,4
2014-02-15;QLB;9,6;0,2;66,0;4,40;4,8;6,2;12,7
2014-02-16;QLB;6,8;0,2;68,8;7,75;5,2;3,0;9,7
2014-02-17;QLB;5,7;0,0;76,1;8,08;2,8;1,0;10,7
2014-02-18;QLB;4,3;0,0;80,7;3,63;1,6;-0,4;7,9
2014-02-19;QLB;6,9;0,0;76,4;4,62;3,1;4,1;9,8
2014-02-20;QLB;7,8;0,0;70,5;7,64;3,2;5,1;11,4
2014-02-21;QLB;7,5;0,5;76,3;5,47;3,0;3,4;11,8
2014-02-22;QLB;5,2;0,0;74,7;8,01;3,3;1,4;8,9
2014-02-23;QLB;5,4;0,6;72,6;10,07;2,5;0,7;10,5
2014-02-24;QLB;5,9;0,6;64,6;10,85;2,8;-1,8;12,5
2014-02-25;QLB;7,8;0,0;61,2;10,35;2,4;0,0;14,4
2014-02-26;QLB;8,7;0,0;70,9;3,78;1,5;5,7;12,6
2014-02-27;QLB;7,4;0,5;81,2;6,56;1,8;5,5;10,8
2014-02-28;QLB;4,8;0,0;77,9;5,52;1,8;-1,0;8,5
2014-03-01;QLB;4,7;0,0;79,1;8,79;1,7;-1,6;11,8
2014-03-02;QLB;3,9;0,3;81,9;8,40;1,4;-0,7;10,1
2014-03-03;QLB;4,9;0,3;76,8;10,88;2,3;-1,9;12,2
2014-03-04;QLB;4,9;0,3;82,2;4,90;1,2;-0,1;10,0
2014-03-05;QLB;5,2;0,0;82,2;7,10;2,2;0,1;10,5
2014-03-06;QLB;3,2;0,0;93,3;8,28;1,3;-1,2;9,1
2014-03-07;QLB;4,2;0,0;87,5;11,96;1,4;-2,5;11,4
2014-03-08;QLB;7,9;0,3;78,1;11,66;2,5;2,4;12,6
2014-03-09;QLB;9,1;0,3;66,6;13,85;1,9;0,4;18,1
2014-03-10;QLB;8,3;0,0;62,8;14,34;1,3;0,1;17,9
2014-03-11;QLB;5,3;0,3;83,6;9,28;1,9;0,3;11,2
2014-03-12;QLB;5,7;0,3;68,3;14,56;1,7;-1,9;13,9
2014-03-13;QLB;7,5;0,3;61,6;14,83;1,4;-1,4;17,3
2014-03-14;QLB;7,6;1,3;63,9;14,73;2,0;-0,3;15,1
2014-03-15;QLB;7,8;0,7;73,8;7,13;7,0;5,1;10,7
2014-03-16;QLB;10,1;0,0;79,6;6,61;8,6;7,0;13,0
2014-03-17;QLB;10,2;0,0;70,0;3,66;5,0;8,9;11,7
2014-03-18;QLB;9,7;0,5;70,4;4,71;3,6;7,7;11,9
2014-03-19;QLB;10,5;0,0;69,7;8,22;5,7;7,3;13,7
2014-03-20;QLB;14,6;0,3;46,3;15,90;4,4;8,9;20,8
2014-03-21;QLB;13,4;0,3;55,8;12,32;4,8;4,0;20,0
2014-03-22;QLB;8,1;0,2;78,9;5,89;2,5;4,4;11,9
2014-03-23;QLB;6,3;0,1;71,5;6,29;2,1;2,6;9,8
2014-03-24;QLB;4,9;0,0;78,0;10,12;2,7;1,7;9,4
2014-03-25;QLB;4,6;0,1;78,3;9,66;1,9;1,0;8,9
2014-03-26;QLB;5,2;0,0;72,1;12,64;2,4;-0,6;10,8
2014-03-27;QLB;6,7;0,3;70,6;14,28;3,0;0,2;13,1
2014-03-28;QLB;5,0;0,0;92,9;4,78;1,9;0,0;8,3
2014-03-29;QLB;9,2;0,0;80,2;15,88;2,4;3,4;16,2
2014-03-30;QLB;9,8;0,3;76,8;15,85;1,6;1,1;19,2
2014-03-31;QLB;10,2;0,3;79,2;8,86;1,4;4,7;16,8
2014-04-01;QLB;10,7;0,6;77,0;11,21;2,2;3,6;17,9
2014-04-02;QLB;14,4;0,0;60,1;16,80;2,3;8,1;22,0
2014-04-03;QLB;14,5;1,0;67,1;16,15;1,5;6,9;22,4
2014-04-04;QLB;10,5;1,3;91,2;4,30;2,1;7,8;12,8
2014-04-05;QLB;10,2;2,2;85,4;7,94;1,3;6,2;14,4
2014-04-06;QLB;13,7;0,0;76,2;16,15;1,3;9,2;18,9
2014-04-07;QLB;16,6;1,3;67,8;9,61;2,0;12,6;21,6
2014-04-08;QLB;12,1;0,5;64,8;10,57;4,5;5,0;17,5
2014-04-09;QLB;8,5;1,1;74,4;12,56;5,7;5,1;11,6
2014-04-10;QLB;9,3;0,0;87,5;5,93;2,9;7,5;11,5
2014-04-11;QLB;10,0;0,5;88,2;5,46;1,2;7,4;13,5
2014-04-12;QLB;10,4;0,0;78,1;15,77;1,7;4,4;15,3
2014-04-13;QLB;10,8;0,6;67,3;14,01;3,5;7,1;14,8
2014-04-14;QLB;7,1;4,0;75,1;15,19;6,4;3,4;11,1
2014-04-15;QLB;5,6;2,8;79,1;11,87;5,9;2,5;9,6
2014-04-16;QLB;6,5;1,3;67,8;21,12;1,8;0,1;12,9
2014-04-17;QLB;9,1;2,2;50,7;21,44;2,7;0,2;14,9
2014-04-18;QLB;6,6;2,7;86,7;9,80;3,3;1,1;10,4
2014-04-19;QLB;9,1;0,0;85,6;13,21;2,0;-0,5;17,5
2014-04-20;QLB;13,3;0,0;73,0;18,95;3,3;7,4;19,1
2014-04-21;QLB;12,3;0,2;77,3;15,07;2,4;7,6;18,9
2014-04-22;QLB;13,1;0,0;75,7;18,85;1,7;5,9;20,3
2014-04-23;QLB;13,7;0,0;74,9;19,73;1,4;6,4;20,5
2014-04-24;QLB;11,8;0,0;91,8;11,01;1,4;6,7;16,2
2014-04-25;QLB;14,5;1,3;77,7;18,19;2,1;8,0;22,1
2014-04-26;QLB;14,9;0,5;77,6;19,64;1,7;6,8;21,7
2014-04-27;QLB;13,9;6,5;86,0;11,94;2,2;8,5;20,1
2014-04-28;QLB;13,4;0,0;84,3;12,31;1,8;8,7;18,9
2014-04-29;QLB;14,0;1,3;70,8;22,63;1,3;6,0;21,1
2014-04-30;QLB;14,5;0,4;65,3;20,13;1,4;5,8;22,1
2014-05-01;QLB;13,0;16,4;88,2;9,41;1,4;10,2;16,8
2014-05-02;QLB;6,3;0,0;92,5;5,25;2,5;4,4;10,4
2014-05-03;QLB;7,9;0,0;68,2;21,30;2,3;3,5;13,3
2014-05-04;QLB;6,2;3,3;74,2;16,31;2,5;1,7;10,4
2014-05-05;QLB;9,2;3,3;68,3;23,14;2,0;2,0;15,1
2014-05-06;QLB;13,2;0,0;69,1;11,99;2,6;5,2;19,6
2014-05-07;QLB;14,3;0,0;71,9;16,06;3,7;9,6;17,9
2014-05-08;QLB;12,0;0,4;73,8;12,80;3,4;8,8;16,0
2014-05-09;QLB;13,7;2,0;73,4;15,03;4,8;8,4;19,0
