Date;Location;Temperature.Air.Mean_C;Precipitation_mm_d;Relative.Air.Humidity_percent;Global.Radiation_MJ_m2_d;Wind.Speed_m_s;Temperature.Air.Min_C;Temperature.Air.Max_C
2014-01-01;RHH;2,7;1,0;89,1;2,29;4,6;-0,6;5,7
2014-01-02;RHH;6,1;2,6;90,4;1,57;6,2;2,8;8,3
2014-01-03;RHH;6,5;0,5;90,9;1,54;6,1;2,9;9,5
2014-01-04;RHH;5,3;1,3;89,1;1,21;3,8;2,2;7,8
2014-01-05;RHH;5,0;0,6;88,5;2,60;4,3;1,4;7,0
2014-01-06;RHH;5,4;10,4;85,1;1,24;6,4;2,0;8,1
2014-01-07;RHH;8,7;0,7;85,7;4,13;5,6;6,1;11,3
2014-01-08;RHH;8,4;0,3;86,9;3,24;4,8;3,8;11,9
2014-01-09;RHH;7,7;6,9;88,0;1,60;7,0;3,9;10,5
2014-01-10;RHH;4,3;0,0;82,9;3,56;5,4;0,3;7,3
2014-01-11;RHH;2,2;0,3;93,0;2,39;4,3;-1,2;5,7
2014-01-12;RHH;1,0;1,5;90,5;4,76;3,1;-3,0;4,9
2014-01-13;RHH;1,5;0,0;98,2;1,38;3,6;-2,3;3,8
2014-01-14;RHH;3,2;0,3;97,1;1,79;2,0;1,7;4,6
2014-01-15;RHH;3,1;1,2;91,3;3,04;4,5;2,0;4,1
2014-01-16;RHH;4,9;1,4;94,8;1,39;4,7;2,9;6,5
2014-01-17;RHH;5,2;0,0;89,7;4,51;4,6;0,5;8,8
2014-01-18;RHH;1,3;0,0;96,0;2,91;2,8;-1,5;5,0
2014-01-19;RHH;2,4;1,5;95,0;2,49;3,1;-0,4;4,7
2014-01-20;RHH;1,7;0,0;95,5;1,48;3,1;0,8;3,1
2014-01-21;RHH;1,4;1,1;97,0;1,50;1,6;0,5;2,5
2014-01-22;RHH;2,6;0,0;96,3;1,57;1,4;1,6;3,8
2014-01-23;RHH;2,3;1,1;94,8;1,55;2,8;0,8;3,8
2014-01-24;RHH;1,3;0,2;95,9;1,57;2,3;-0,7;3,1
2014-01-25;RHH;-1,3;1,7;92,2;1,60;3,4;-2,3;0,7
2014-01-26;RHH;1,7;2,3;92,0;2,17;5,1;0,2;4,1
2014-01-27;RHH;1,9;0,3;90,8;3,52;5,0;0,4;4,3
2014-01-28;RHH;1,9;1,5;89,5;4,52;4,2;-1,8;4,7
2014-01-29;RHH;-0,4;1,5;86,2;1,71;3,7;-1,8;0,3
2014-01-30;RHH;-0,7;0,0;84,7;5,70;2,7;-2,8;3,0
2014-01-31;RHH;-0,4;1,5;85,7;6,53;2,7;-3,5;4,1
2014-02-01;RHH;1,8;2,2;89,7;1,88;4,7;-2,2;4,3
2014-02-02;RHH;3,0;0,0;93,4;4,86;3,0;-0,9;6,9
2014-02-03;RHH;1,3;0,0;93,6;2,13;3,3;-2,0;3,9
2014-02-04;RHH;2,3;1,3;89,5;3,33;3,7;-1,2;5,9
2014-02-05;RHH;0,9;0,4;93,3;3,15;3,8;-2,9;4,9
2014-02-06;RHH;6,1;0,4;80,1;5,48;6,1;3,8;8,8
2014-02-07;RHH;7,8;0,1;68,7;3,35;8,7;2,6;11,4
2014-02-08;RHH;4,7;5,1;83,1;2,64;7,1;1,1;7,6
2014-02-09;RHH;4,2;0,6;76,8;4,80;7,1;0,2;6,9
2014-02-10;RHH;2,2;1,0;85,2;2,87;3,8;-1,4;5,8
2014-02-11;RHH;3,8;1,0;82,8;4,27;5,7;1,8;6,4
2014-02-12;RHH;3,9;2,4;79,4;6,84;5,8;1,5;6,8
2014-02-13;RHH;3,8;7,2;90,6;3,05;6,0;1,4;6,1
2014-02-14;RHH;4,2;0,3;81,9;5,33;5,7;1,7;7,0
2014-02-15;RHH;7,8;0,3;78,2;2,48;8,1;4,5;10,7
2014-02-16;RHH;5,2;4,4;82,8;4,93;6,5;1,3;8,0
2014-02-17;RHH;3,2;0,0;91,2;6,28;3,2;-1,1;8,9
2014-02-18;RHH;1,9;0,2;91,8;3,65;2,6;-1,9;7,0
2014-02-19;RHH;5,1;0,7;89,4;4,64;3,6;2,0;9,2
2014-02-20;RHH;6,6;1,4;83,0;4,63;4,7;2,9;9,7
2014-02-21;RHH;5,9;2,7;88,0;6,09;5,4;1,2;9,3
2014-02-22;RHH;3,3;0,2;89,0;5,38;4,4;-0,7;6,2
2014-02-23;RHH;4,2;1,3;81,2;6,72;3,8;-0,5;9,2
2014-02-24;RHH;4,2;1,3;72,4;11,24;3,9;-2,0;12,2
2014-02-25;RHH;5,7;1,3;73,9;8,55;4,5;-0,4;11,9
2014-02-26;RHH;7,0;3,6;79,7;5,66;2,6;3,7;10,9
2014-02-27;RHH;5,3;1,4;86,2;6,90;3,5;2,2;9,2
2014-02-28;RHH;4,5;0,5;86,6;5,81;3,6;2,5;7,6
2014-03-01;RHH;4,7;0,1;85,5;5,84;2,0;1,3;7,8
2014-03-02;RHH;2,7;0,4;85,5;7,48;2,5;-1,6;7,6
2014-03-03;RHH;3,1;0,0;87,6;4,19;3,7;-1,7;7,3
2014-03-04;RHH;3,7;0,0;80,4;11,77;1,7;-1,8;11,4
2014-03-05;RHH;4,1;0,4;81,6;8,07;2,2;-0,5;9,8
2014-03-06;RHH;2,8;0,4;88,8;9,90;1,7;-2,0;10,9
2014-03-07;RHH;4,6;0,4;79,4;12,37;2,1;-2,9;12,9
2014-03-08;RHH;6,8;0,4;77,5;13,41;2,0;-0,4;15,1
2014-03-09;RHH;7,6;0,4;69,3;14,27;1,9;-0,4;18,5
2014-03-10;RHH;7,8;0,4;64,7;14,64;2,4;-0,5;18,0
2014-03-11;RHH;9,1;0,4;61,4;14,68;4,5;1,9;16,8
2014-03-12;RHH;7,8;0,4;71,5;14,06;3,1;1,1;16,2
2014-03-13;RHH;8,0;0,4;63,8;15,08;1,4;-0,6;18,4
2014-03-14;RHH;8,0;0,4;66,1;15,22;2,3;-0,2;17,5
2014-03-15;RHH;7,8;1,3;72,4;5,17;6,5;6,2;9,5
2014-03-16;RHH;8,9;0,0;84,5;4,25;7,2;6,3;11,4
2014-03-17;RHH;9,1;0,4;75,8;4,68;4,9;6,8;12,1
2014-03-18;RHH;8,6;1,4;78,9;3,70;4,8;5,6;11,1
2014-03-19;RHH;9,5;0,0;76,6;8,47;6,3;5,9;14,1
2014-03-20;RHH;11,5;0,4;62,9;15,59;4,7;1,6;19,2
2014-03-21;RHH;11,5;0,9;64,3;11,44;6,8;5,2;17,0
2014-03-22;RHH;6,8;3,9;88,1;4,10;4,7;2,7;10,2
2014-03-23;RHH;4,8;0,4;80,1;8,12;3,5;0,0;9,1
2014-03-24;RHH;2,8;0,4;79,1;12,53;2,3;-1,9;9,2
2014-03-25;RHH;2,5;0,0;80,0;14,71;2,0;-3,0;9,1
2014-03-26;RHH;4,0;0,0;71,6;13,53;2,8;-3,1;10,4
2014-03-27;RHH;7,8;0,4;64,3;16,26;4,4;1,6;13,5
2014-03-28;RHH;8,2;0,4;67,5;16,24;4,3;2,4;15,2
2014-03-29;RHH;9,1;0,4;69,5;18,00;3,1;0,2;18,4
2014-03-30;RHH;10,9;0,4;67,3;16,53;1,7;2,3;20,7
2014-03-31;RHH;10,9;0,4;69,1;6,75;1,2;4,6;18,5
2014-04-01;RHH;12,8;1,5;61,2;14,67;1,7;5,2;21,2
2014-04-02;RHH;12,7;1,5;63,9;17,22;2,5;4,4;21,3
2014-04-03;RHH;13,9;1,5;64,0;11,91;1,9;6,4;22,3
2014-04-04;RHH;13,8;0,0;70,9;6,76;2,8;8,7;19,8
2014-04-05;RHH;11,7;0,0;85,5;5,19;2,0;7,2;16,1
2014-04-06;RHH;12,0;0,0;77,1;12,94;2,8;4,4;18,8
2014-04-07;RHH;14,8;0,9;69,7;13,03;3,3;9,7;20,0
2014-04-08;RHH;9,8;0,2;70,4;11,19;6,6;3,4;14,3
2014-04-09;RHH;7,6;0,0;72,4;10,83;5,2;1,5;11,3
2014-04-10;RHH;10,5;1,5;75,6;5,39;2,3;7,3;13,2
2014-04-11;RHH;10,9;0,9;79,2;6,87;2,0;6,7;16,5
2014-04-12;RHH;11,4;1,5;69,6;12,73;2,6;6,3;17,2
2014-04-13;RHH;9,4;0,0;70,7;11,99;4,1;3,7;13,7
2014-04-14;RHH;6,9;0,6;74,6;14,30;6,4;1,9;11,9
2014-04-15;RHH;4,7;0,0;71,6;7,37;3,8;0,4;8,6
2014-04-16;RHH;5,6;1,5;68,9;20,68;2,3;-1,9;13,2
2014-04-17;RHH;8,0;0,5;55,8;22,36;3,2;-1,1;15,0
2014-04-18;RHH;8,0;0,7;67,8;16,19;4,3;3,9;12,3
2014-04-19;RHH;9,1;1,5;77,0;17,75;5,2;0,8;15,9
2014-04-20;RHH;13,8;0,0;66,6;18,53;4,4;7,6;19,7
2014-04-21;RHH;10,8;0,4;79,0;15,86;3,0;5,2;17,9
2014-04-22;RHH;11,0;0,2;85,5;11,90;2,3;6,7;17,4
2014-04-23;RHH;12,2;0,4;77,4;18,28;1,8;5,5;20,8
2014-04-24;RHH;14,6;1,5;69,1;21,37;2,8;5,8;22,8
2014-04-25;RHH;15,8;0,0;72,0;21,11;3,4;9,2;22,7
2014-04-26;RHH;13,8;18,9;85,1;11,78;2,2;9,4;19,4
2014-04-27;RHH;10,9;3,8;93,3;5,91;2,5;8,7;13,3
2014-04-28;RHH;11,2;0,4;95,0;5,43;1,5;8,9;13,4
2014-04-29;RHH;13,0;0,7;91,3;9,74;1,7;10,1;16,9
2014-04-30;RHH;13,0;2,7;88,9;12,70;1,8;9,0;19,0
2014-05-01;RHH;12,7;13,1;85,3;11,89;2,1;9,3;18,4
2014-05-02;RHH;10,0;0,2;87,9;9,23;4,1;5,0;14,9
2014-05-03;RHH;7,4;3,0;65,8;18,79;4,0;1,5;13,0
2014-05-04;RHH;7,7;3,0;69,7;23,79;2,2;-0,3;15,5
2014-05-05;RHH;10,0;3,0;68,1;24,44;1,9;1,7;18,4
2014-05-06;RHH;12,2;1,8;76,6;12,90;4,1;4,4;19,1
2014-05-07;RHH;11,9;0,6;80,0;14,12;5,1;8,1;16,4
2014-05-08;RHH;10,9;4,0;84,4;11,02;5,5;7,1;14,7
2014-05-09;RHH;13,4;0,3;72,5;16,91;7,3;7,4;18,4
2014-05-10;RHH;10,4;12,7;85,7;9,13;5,0;6,3;14,7
2014-05-11;RHH;9,5;4,3;81,7;16,99;6,6;7,0;13,7
2014-05-12;RHH;9,1;2,9;79,8;15,52;5,5;5,8;14,8
2014-05-13;RHH;8,6;4,7;88,4;12,18;3,4;3,9;13,4
2014-05-14;RHH;7,5;1,9;82,0;17,94;3,5;1,5;13,4
2014-05-15;RHH;8,3;0,0;81,8;8,58;2,9;2,9;13,2
2014-05-16;RHH;11,9;3,0;68,0;22,79;4,2;5,8;18,1
2014-05-17;RHH;11,8;3,0;73,4;22,85;3,4;5,0;18,6
2014-05-18;RHH;14,1;0,1;71,0;21,70;2,5;6,8;21,3
2014-05-19;RHH;16,2;3,0;67,3;25,71;2,4;7,9;24,1
2014-05-20;RHH;18,6;3,0;62,5;25,82;2,5;9,3;27,1
2014-05-21;RHH;19,5;3,0;61,4;22,85;2,7;10,6;27,2
2014-05-22;RHH;19,3;6,9;65,1;24,19;3,0;11,9;26,8
2014-05-23;RHH;14,2;4,8;86,7;16,07;2,2;9,7;19,4
