BRISONr,genotype,RYear,quality,breeder,breeding_progress_subset
BRISONr_1,Einstein,2004,B,Nickerson/Limagrain,FALSE
BRISONr_2,Oakley,2008,C,KWS UK Limited,FALSE
BRISONr_3,Jafet,2008,E,Sandra Senghaas-Kirschenlohr,FALSE
BRISONr_4,Claire,1999,C,Nickerson,FALSE
BRISONr_5,Rebell,2013,A,RAGT,FALSE
BRISONr_6,Memory,2013,B,Secobra Recherches,FALSE
BRISONr_7,Kurt,2013,B,LIMAGRAIN GmbH ,FALSE
BRISONr_8,Zappa,2009,Ck,Ackermann Saatzucht,FALSE
BRISONr_9,Chevalier ,2005,A,DSV ,FALSE
BRISONr_10,Gordian,2013,B,Syngenta Seeds,FALSE
BRISONr_11,Mentor,2012,B,RAGT/Mellinger,FALSE
BRISONr_12,Meister,2010,A,RAGT/Mellinger,FALSE
BRISONr_13,KWS Santiago,2011,C,KWS Lochow,FALSE
BRISONr_14,Brigand,1979,"BISC, D",Plant Breeding International Cambridge,FALSE
BRISONr_15,Profilus,2008,A,RAGT/Mellinger,FALSE
BRISONr_16,Durin,NA,NA,NA,FALSE
BRISONr_17,KWS Pius,2010,A,KWS Lochow,FALSE
BRISONr_18,Paroli,2004,A,DSV,FALSE
BRISONr_19,Estivus,2012,A,Strube Saatzucht,FALSE
BRISONr_20,Kronjuwel,1980,B,Bayrische Saatzuchtgesellschaft,TRUE
BRISONr_21,Desamo,2013,B,Syngenta Seeds,FALSE
BRISONr_22,Carenius,2006,B,Eger/Dieckmann (EU),FALSE
BRISONr_23,Mulan,2006,B,Nordsaat Saatzucht,FALSE
BRISONr_24,Kredo,2009,B,Nordsaat Saatzucht,FALSE
BRISONr_25,Nelson,2011,E,Saatzucht Schweiger,FALSE
BRISONr_26,Patras,2012,A,DSV,TRUE
BRISONr_27,Götz,1978,B,Bayrische Saatzuchtgesellschaft,TRUE
BRISONr_28,Robigus,2004,Bk,"KWS UK Limited, CPB Twyford Ltd",FALSE
BRISONr_29,Anapolis,2013,C,NORDSAAT Saatzuchtgesellschaft,FALSE
BRISONr_30,Solstice,2001,NA,Limagrain UK Ltd,FALSE
BRISONr_31,Biscay,2000,C,Lochow-Petkus,TRUE
BRISONr_32,Capone,2012,A,LIMAGRAIN GmbH,FALSE
BRISONr_33,Tabasco,2008,C,v. Borris-Eckendorf,FALSE
BRISONr_34,Kometus,2011,A,Saatzucht Schweiger,FALSE
BRISONr_35,Cubus,2002,A,Lochow-Petkus,FALSE
BRISONr_36,Edward,2013,B,v. Borris-Eckendorf,FALSE
BRISONr_37,Famulus,2010,E,DSV,FALSE
BRISONr_38,Dekan,1999,B,Lochow-Petkus,TRUE
BRISONr_39,SW Topper,2002,E,Lantmaennen SW Seed Hadmersleben GmbH,FALSE
BRISONr_40,Matrix,2010,B,DSV,FALSE
BRISONr_41,Jenga,2007,A,Ackermann Saatzucht,FALSE
BRISONr_42,Linus,2010,A,RAGT/Mellinger,FALSE
BRISONr_43,TJB 990-15,1980,"BISC, D",Plant Breeding International Cambridge (PBIC),FALSE
BRISONr_44,Forum,2012,A,Nordsaat Saatzucht,FALSE
BRISONr_45,Colonia,2011,B,LIMAGRAIN GmbH,FALSE
