"BRISONr","genotype","baking_qulaity","country","breeder","breeding_progress","phaseI","phaseII","RYear"
"BRISONr_1","Einstein","B","GB","Nickerson/Limagrain",TRUE,TRUE,FALSE,2004
"BRISONr_10","Gordian","B","DE","Syngenta Seeds",TRUE,TRUE,FALSE,2013
"BRISONr_100","Kerubino","E","DE","Saatzucht Schmid Landau",TRUE,TRUE,FALSE,2004
"BRISONr_101","Arktis","E","DE","DSV",TRUE,TRUE,FALSE,2010
"BRISONr_102","Urban","E","DE","Bauer, G.",TRUE,TRUE,TRUE,1980
"BRISONr_103","Orestis","B","DE","Strube, Dr. H.",TRUE,TRUE,FALSE,1988
"BRISONr_104","Flair","B","DE","Schweiger",TRUE,TRUE,TRUE,1996
"BRISONr_105","Anthus","B","DE","KWS Lochow GmbH",TRUE,TRUE,FALSE,2005
"BRISONr_106","Bombus","C","DE","Secobra Recherches",TRUE,TRUE,FALSE,2012
"BRISONr_107","Lucius","A","DE","Secobra Recherches",TRUE,TRUE,FALSE,2006
"BRISONr_108","Herzog","A","DE","Saatzucht Breun",TRUE,TRUE,FALSE,1986
"BRISONr_109","Sorbas","B","DE","Strube, Dr. H.",TRUE,TRUE,FALSE,1985
"BRISONr_11","Mentor","B","DE","RAGT/Mellinger",TRUE,TRUE,FALSE,2012
"BRISONr_110","Tabor","A","DE","Strube",TRUE,TRUE,TRUE,1979
"BRISONr_111","Terrier","B","DE","Nickerson",TRUE,TRUE,FALSE,2001
"BRISONr_112","Magister","E","DE","Bauer",TRUE,TRUE,FALSE,2005
"BRISONr_113","Altos","E","DE","Syngenta Hadmersleben",TRUE,TRUE,FALSE,2000
"BRISONr_114","Progress","A","DE","Hege",TRUE,TRUE,TRUE,1969
"BRISONr_115","Xanthippe","Ck","DE","Sejet Planteforaedling I/S",TRUE,TRUE,FALSE,2011
"BRISONr_116","Avenir","A","DE","Saatzucht Josef Breun",TRUE,TRUE,FALSE,2013
"BRISONr_117","Pantus","A","DE","Streng",TRUE,TRUE,FALSE,1966
"BRISONr_118","Drifter","B","DE","Nickerson",TRUE,TRUE,TRUE,1999
"BRISONr_119","Joss","C","DE","Breustedt",TRUE,TRUE,FALSE,1972
