Row;Column;BRISONr;Year;Location;Subtrial;Treatment;Block;Sowing_date;Emergence_date;BBCH59;BBCH87;Plantheight;Seedyield;Seedyield_bio;Biomass_bio;TKW_plot;TKW_bio;Spike_number;Stripe_rust;Powdery_mildew;Leaf_rust;Septoria;DTR;Fusarium;Sedimentation;Falling_number;Crude_protein
6;15;BRISONr_1;2015;KAL;1;LN_NF;B1;301;320;148;190;77;70.42;724.8;1414.32;NA;NA;352;4;NA;NA;NA;NA;NA;18.6;NA;11.8
2;14;BRISONr_2;2015;KAL;1;LN_NF;B1;300;320;149;197;74;63.88;500.8;895.68;NA;NA;224;4;NA;NA;NA;NA;NA;16;NA;11.4
4;14;BRISONr_3;2015;KAL;1;LN_NF;B1;300;318;151;191;75;58.3;421.6;883.12;NA;NA;224;2;NA;NA;NA;NA;NA;13.8;NA;11.8
5;17;BRISONr_4;2015;KAL;1;LN_NF;B1;301;320;150;194;80.67;77.45;496;932.88;NA;NA;296;2;NA;NA;NA;NA;NA;11.9;NA;10.1
7;10;BRISONr_5;2015;KAL;1;LN_NF;B1;300;319;149;192;83;68.97;423.2;846.64;NA;NA;288;3;NA;NA;NA;NA;NA;19.2;NA;12.8
6;14;BRISONr_6;2015;KAL;1;LN_NF;B1;300;318;149;192;83.33;68.36;424;850.4;NA;NA;288;3;NA;NA;NA;NA;NA;27.8;NA;13.1
8;14;BRISONr_7;2015;KAL;1;LN_NF;B1;300;320;149;194;71.33;68;739.2;1385.52;NA;NA;400;1;NA;NA;NA;NA;NA;18.3;NA;12.5
6;11;BRISONr_8;2015;KAL;1;LN_NF;B1;300;319;151;197;76;71.27;544.8;998.32;NA;NA;240;2;NA;NA;NA;NA;NA;23.7;NA;13.1
7;15;BRISONr_9;2015;KAL;1;LN_NF;B1;301;319;148;194;86;64.24;645.6;1331.68;NA;NA;376;2;NA;NA;NA;NA;NA;23.1;NA;12.6
6;6;BRISONr_10;2015;KAL;1;LN_NF;B1;300;319;153;192;74.67;61.94;298.4;632.88;NA;NA;360;2;NA;NA;NA;NA;NA;24.4;NA;11.9
8;7;BRISONr_11;2015;KAL;1;LN_NF;B1;300;320;150;195;80;65.58;801.6;1557.28;NA;NA;296;1;NA;NA;NA;NA;NA;16.7;NA;11.5
